date,special,prize1,prize2,prize3_1,prize3_2,prize4_1,prize4_2,prize4_3,prize4_4,prize4_5,prize4_6,prize4_7,prize5,prize6_1,prize6_2,prize6_3,prize7,prize8
2025-09-18,96,28,14,30,69,86,68,26,16,97,31,95,84,1,97,12,60,58
2025-09-25,34,36,34,44,39,66,12,35,50,98,31,97,96,46,72,19,69,88
2025-10-02,90,30,65,65,50,16,48,0,66,20,99,51,29,54,13,24,94,5
2025-10-09,78,17,50,88,19,98,3,37,5,80,29,60,2,16,29,42,24,96
2025-10-16,41,32,59,40,44,55,9,19,63,58,54,31,91,10,82,19,65,97
2025-10-23,30,90,84,12,4,27,46,5,31,49,34,14,11,16,69,14,83,97
2025-10-30,59,95,10,82,29,93,74,27,9,10,91,37,52,16,95,29,94,26
2025-11-06,87,86,21,27,40,28,11,24,12,58,28,26,53,85,97,62,18,58
2025-11-13,19,93,47,47,86,52,19,96,66,47,30,78,43,24,7,69,65,7
2025-11-20,23,61,62,88,70,29,32,80,66,14,44,67,37,40,7,90,8,72
2025-11-27,17,24,15,24,12,85,30,74,63,84,5,28,18,15,34,20,57,79
2025-12-04,65,10,51,18,70,58,44,63,60,57,14,78,41,39,19,45,41,78
2025-12-11,55,31,16,60,15,39,66,33,79,9,7,4,18,22,45,10,63,28
2025-12-18,92,20,42,88,21,8,18,85,24,85,26,79,9,67,39,43,90,41
2025-12-25,55,89,75,73,56,93,15,88,40,17,73,56,65,5,60,37,96,94
2026-01-01,98,24,34,42,96,4,37,21,83,1,12,18,0,98,68,76,44,20
2026-01-08,34,0,57,60,83,37,34,97,67,70,85,77,6,21,51,66,38,65
2026-01-15,36,72,50,11,81,99,3,91,84,25,27,70,91,25,70,72,74,92
2026-01-22,70,71,70,36,67,55,19,63,43,80,65,37,85,13,88,12,98,52
2026-01-29,16,94,0,33,12,12,20,55,8,39,81,81,13,48,49,94,40,28
2026-02-05,12,87,92,92,57,40,60,76,86,28,11,97,21,47,32,44,45,46
2026-02-12,44,97,90,92,65,39,55,31,97,90,13,40,9,7,20,90,89,65
2026-02-19,39,95,34,76,0,75,22,98,20,37,78,49,30,55,83,49,25,20
2026-02-26,20,53,11,23,25,93,40,82,21,16,77,39,2,58,92,40,86,85
2026-03-05,45,6,95,58,1,87,70,84,39,57,68,60,45,35,86,64,52,28
2026-03-12,65,64,23,61,28,76,44,40,80,21,11,63,15,40,34,74,82,4
2026-03-19,64,52,1,24,58,26,38,53,87,21,79,44,83,56,39,75,6,84
2026-03-26,58,65,79,45,19,13,25,58,46,96,77,15,25,99,91,22,32,51
2026-04-02,59,29,79,32,89,19,81,48,61,33,81,2,43,37,7,12,85,74
2026-04-09,0,44,52,47,11,45,34,86,98,20,61,63,19,37,89,20,34,62
2026-04-16,97,48,21,17,43,23,85,90,78,19,36,1,39,79,67,67,44,55
2026-04-23,20,48,37,0,35,48,34,10,78,17,80,33,78,82,66,22,5,48
2026-04-30,49,75,29,79,94,97,56,94,60,34,27,7,65,12,67,73,22,57
2026-05-07,66,68,55,81,94,19,63,76,35,25,34,7,89,64,89,88,73,98
2026-05-14,64,91,76,9,92,17,66,25,21,88,25,54,10,47,60,55,23,63
2026-05-21,86,36,73,60,93,25,70,25,68,3,2,73,75,39,53,73,52,15
2026-05-28,85,19,6,96,47,52,22,9,44,91,33,99,3,98,79,49,42,5
2026-06-04,98,8,92,66,75,72,1,71,24,43,76,77,54,43,95,79,21,16
2026-06-11,15,62,99,66,2,68,84,10,45,88,83,41,61,50,56,80,89,59
2026-06-18,2,32,69,3,95,37,40,6,38,73,48,95,76,37,60,77,46,96
2026-06-25,93,22,68,87,0,19,71,39,93,82,41,97,57,9,13,42,31,75
2026-07-02,29,93,14,87,86,23,65,68,65,65,82,26,37,85,50,26,12,78
2026-07-09,86,97,90,94,50,3,81,32,4,38,6,90,46,36,84,11,0,33
2026-07-16,19,83,31,59,54,51,67,46,64,89,77,22,82,90,51,81,61,34
