date,province,special,prize1,prize2,prize3_1,prize3_2,prize4_1,prize4_2,prize4_3,prize4_4,prize4_5,prize4_6,prize4_7,prize5,prize6_1,prize6_2,prize6_3,prize7,prize8
2025-09-18,xsbdi,244396,25128,89214,98230,68269,17186,23868,59126,34816,62497,84131,49195,6184,4701,1797,5712,160,58
2025-09-25,xsbdi,91434,71936,2134,86244,30539,18066,86512,42635,63550,20098,41231,1397,2496,2446,5272,3719,369,88
2025-10-02,xsbdi,562990,93930,49765,62165,4350,19016,73948,81200,88366,17420,5399,97451,4829,4554,2513,1124,494,5
2025-10-09,xsbdi,826578,37217,11950,67688,46319,91598,41803,57737,85205,88080,87429,37160,902,4916,329,3842,824,96
2025-10-16,xsbdi,894041,25932,96559,24540,95244,59755,77809,83819,99163,17558,91454,50131,2891,7510,8582,6019,565,97
2025-10-23,xsbdi,314630,60190,92584,96312,30904,91027,52446,42505,8831,59449,20334,4014,311,6916,7369,714,183,97
2025-10-30,xsbdi,737859,69895,23310,64382,59029,73893,61374,75327,11009,10410,75491,77937,2752,6016,6595,9129,994,26
2025-11-06,xsbdi,187487,50886,51721,85027,34140,51228,31411,37024,64412,69558,13828,53726,4253,185,6597,1162,818,58
2025-11-13,xsbdi,656619,93593,46547,85847,93586,82752,37519,48796,37866,16547,96530,80978,243,7424,6007,4969,365,7
2025-11-20,xsbdi,510623,57261,81962,67488,8570,22229,53032,32580,97366,22614,72444,28767,537,3340,7307,9790,608,72
2025-11-27,xsbdi,69617,32224,86815,33824,69412,89885,4730,62174,14663,31084,22005,25428,4918,4015,8634,5220,957,79
2025-12-04,xsbdi,255065,14110,69951,62218,63170,41058,42644,71663,16760,157,85214,96278,4541,2239,1319,945,41,78
2025-12-11,xsbdi,471455,49031,30316,76660,19615,28539,97866,12933,879,95909,97807,32204,8918,8022,3445,3410,563,28
2025-12-18,xsbdi,220492,36320,81142,62188,94721,14608,98218,48585,95524,95585,51826,80079,5009,6267,9239,5343,890,41
2025-12-25,xsbdi,902555,4489,99775,32373,11456,3793,97015,98588,31540,96017,92373,57856,5865,6105,2060,1237,596,94
2026-01-01,xsbdi,164598,78424,2634,99342,6896,7304,11637,95221,41583,47801,34912,75918,3400,9098,4968,576,444,20
2026-01-08,xsbdi,634834,74700,64957,29660,58483,59137,81834,37797,47267,39370,35885,54877,1206,5521,4851,7666,838,65
2026-01-15,xsbdi,118336,27772,71550,32511,75281,89699,12303,48391,16784,74625,18827,55870,7091,725,6370,7872,674,92
2026-01-22,xsbdi,703970,31571,30770,54636,79667,5955,92219,37263,45343,33680,29665,2437,985,5513,2688,2112,198,52
2026-01-29,xsbdi,219916,98094,59500,25033,6912,12512,98220,53355,71508,54639,89181,18981,2713,7148,449,6694,840,28
2026-02-05,xsbdi,155212,52387,58692,20192,45657,64640,63260,2376,24386,95728,56111,54597,3521,347,4932,1844,45,46
2026-02-12,xsbdi,99144,13197,26590,93992,1265,15839,29355,63331,68997,43690,51113,24740,5809,2007,2720,5690,789,65
2026-02-19,xsbdi,422139,83195,75334,58076,52000,96975,67022,1398,20720,65637,4078,12749,9330,6555,83,1349,425,20
2026-02-26,xsbdi,99520,92353,17611,95823,83225,42193,49840,14082,16621,8416,93177,90939,5302,1358,9492,6140,86,85
2026-03-05,xsbdi,268745,306,85595,758,6201,53587,46870,33484,71839,35257,4568,64560,7745,5935,9186,8164,452,28
2026-03-12,xsbdi,289565,39264,27223,22861,27028,77976,12244,11140,70180,58921,38911,48463,7415,4140,7234,9374,582,4
2026-03-19,xsbdi,841664,1952,46101,20624,89858,15326,18338,24353,6687,77421,34479,84744,3283,9956,4639,4075,106,84
2026-03-26,xsbdi,324258,37165,93879,29245,36119,45013,1025,65458,18446,73096,68977,85615,425,1399,6291,4522,532,51
2026-04-02,xsbdi,932159,46129,40579,98932,49389,51219,4981,51348,6961,71433,20481,20702,6343,6737,1307,6912,785,74
2026-04-09,xsbdi,826200,31844,78252,7647,19911,50645,59034,96986,15998,35120,23861,66863,4919,8737,8289,7420,434,62
2026-04-16,xsbdi,936497,47148,16121,14517,44343,47523,61985,84690,48078,18519,83536,83901,7239,1979,5767,3967,244,55
2026-04-23,xsbdi,547020,40748,64937,33800,10535,60248,54534,65310,9578,31917,60880,44533,4578,7382,2766,5622,705,48
2026-04-30,xsbdi,502849,81275,73329,6179,10894,74597,18256,99094,91160,1734,98027,4607,3565,7512,5067,4773,222,57
2026-05-07,xsbdi,878266,17468,80955,30481,94194,50219,13063,46976,77735,84025,25234,84107,2489,5964,3389,9888,773,98
2026-05-14,xsbdi,557464,75591,65476,94509,68892,78217,81266,47025,221,99288,56925,92654,810,1747,3360,6155,223,63
2026-05-21,xsbdi,773186,17636,18373,17560,49793,44125,3670,85625,51368,14103,50402,28073,7875,9139,4953,7273,152,15
2026-05-28,xsbdi,732585,61919,95206,97896,97947,43852,80422,54709,90144,11291,27333,33499,1503,4098,1279,4749,942,5
2026-06-04,xsbdi,785898,49108,35092,45266,21075,37372,41501,67571,33124,20443,71576,35677,2354,8143,6995,9379,521,16
2026-06-11,xsbdi,752515,1062,1199,47466,1602,33968,65584,56910,54945,55688,5683,9241,361,5450,5156,5680,89,59
2026-06-18,xsbdi,191402,55932,19769,1103,1595,32137,24640,62606,20438,66673,51448,44795,3076,5137,6760,8077,846,96
2026-06-25,xsbdi,579093,73622,18468,26787,31400,18419,11371,76839,95393,21782,35041,62997,5857,8809,613,9142,131,75
2026-07-02,xsbdi,709529,23293,20314,29187,69886,44223,52165,18668,87065,38065,6382,82526,3837,5385,8150,8926,412,78
2026-07-09,xsbdi,497086,1997,40990,81694,23450,9603,49581,22832,54104,97238,71806,43790,9946,8236,2484,5511,0,33
2026-07-16,xsbdi,715419,9083,54531,98559,4854,26851,73967,71546,7664,99089,91077,822,5182,3790,3751,6381,361,34
2026-07-23,xsbdi,9270,58993,346,16650,50595,89176,18205,47536,52340,69934,24202,30837,1571,9236,8384,9031,846,48
