date,province,special,prize1,prize2,prize3_1,prize3_2,prize4_1,prize4_2,prize4_3,prize4_4,prize4_5,prize4_6,prize4_7,prize5,prize6_1,prize6_2,prize6_3,prize7,prize8
2025-09-15,xscm,980359,24624,59018,86180,11631,13659,29477,80806,91386,52798,57235,62006,7712,7029,1720,9749,23,72
2025-09-22,xscm,61495,15296,8895,51186,32640,61452,74050,13653,20094,67166,26898,81990,5874,1269,9223,7437,944,24
2025-09-29,xscm,814605,88883,93269,13653,16764,41342,19119,62050,85360,4153,47339,86673,5773,5662,8844,6322,794,38
2025-10-06,xscm,552592,1358,19035,23074,76667,55432,27024,24332,25740,32018,77661,21126,6892,7089,9009,9493,766,22
2025-10-13,xscm,884006,79039,70667,59678,1324,65362,34036,46346,17237,30235,27511,63990,2587,5867,4916,7498,534,86
2025-10-20,xscm,213948,74700,97224,15848,47288,40826,70177,30078,46411,33557,64124,9520,6618,2746,2701,3072,752,2
2025-10-27,xscm,206663,84271,51268,61758,13636,1239,86908,5703,67553,68535,78280,57693,1339,7656,847,3101,13,10
2025-11-03,xscm,338191,11823,35296,76444,73997,7389,8908,87430,79299,46966,23363,7672,960,8691,491,7035,659,85
2025-11-10,xscm,166946,96953,58501,57286,80196,36862,95515,86785,71137,98184,46922,78001,6290,6156,5694,9335,326,87
2025-11-17,xscm,794185,51321,17751,9713,92359,30706,66270,78489,39996,92562,62232,73911,77,319,1645,733,176,9
2025-11-24,xscm,954123,40159,2727,34833,27899,36844,22100,22855,33327,18430,76235,27795,731,6590,6888,4374,794,36
2025-12-01,xscm,986053,58672,91512,53706,59826,6834,60560,78573,64259,28301,78537,36015,335,2883,3414,1482,872,2
2025-12-08,xscm,761911,17162,1256,57077,57855,64348,55099,95120,52080,5158,92468,59874,4753,6525,189,6563,222,0
2025-12-15,xscm,989912,77350,30559,47125,30563,90962,35666,45918,45514,83216,5689,71925,4230,1229,2602,4444,745,67
2025-12-22,xscm,337999,21004,508,37336,38899,91517,22345,77192,68807,13422,48260,98773,4957,5728,733,2873,611,18
2025-12-29,xscm,852037,930,90947,3343,86830,89670,32619,86311,55215,57377,54809,83101,6649,1172,9727,5243,454,38
2026-01-05,xscm,734535,14191,28162,67897,39213,37310,33008,9632,25717,69844,84382,42460,4902,118,6606,3526,167,31
2026-01-12,xscm,677688,66744,86207,97255,73968,32699,38069,8866,60203,90242,81947,91213,8286,9121,9111,8604,40,7
2026-01-19,xscm,786591,64948,90010,40414,39330,58731,11712,22112,4219,66912,47375,60331,2117,9463,5345,4946,857,27
2026-01-26,xscm,701276,13984,84937,28164,26311,25313,93962,12958,78124,8681,6616,71688,3023,6894,740,7624,717,29
2026-02-02,xscm,713376,74415,63865,8703,34839,5970,52040,24258,96001,49545,98941,4603,5191,6839,5579,99,715,94
2026-02-09,xscm,291653,16032,94229,63217,99194,32036,80419,44880,8759,50749,16765,9328,6734,5055,9376,8582,180,68
2026-02-16,xscm,828323,88682,73805,93875,74500,51943,33782,11176,82791,85755,18744,1129,3588,7032,1137,2178,410,83
2026-02-23,xscm,792898,73641,51387,47785,71035,81135,61294,65993,37175,6657,43551,79786,2825,833,7475,3364,840,90
2026-03-02,xscm,253447,28927,77597,61189,33633,69809,6322,39974,54820,4875,46471,61439,7334,8037,5869,3628,83,47
2026-03-09,xscm,348827,69167,1435,66978,11727,24724,1642,57186,49569,31294,24351,9591,2033,8215,9397,8996,572,90
2026-03-16,xscm,616205,23669,12764,57745,95446,74865,8082,24370,72868,8690,87387,52028,752,7586,8768,5316,321,73
2026-03-23,xscm,470871,1147,87156,59748,15021,61828,10218,36774,37012,63009,79178,9269,6066,8918,8955,2412,382,26
2026-03-30,xscm,72092,91529,72156,95572,43798,56922,60061,71211,88758,23697,17688,89310,9782,4147,4466,8353,767,85
2026-04-06,xscm,829717,29815,66955,25169,2731,75884,69666,82373,66388,21456,76016,23557,9272,5831,6211,1141,332,45
2026-04-13,xscm,133005,76997,16367,32318,39787,12651,64464,99711,94616,28220,92226,81430,9703,2444,9162,1487,314,50
2026-04-20,xscm,50354,84704,78722,59799,88591,78548,97461,21978,26150,73982,61250,280,4934,8930,7105,4205,219,53
2026-04-27,xscm,867614,84531,6657,32161,80927,13683,27267,5869,76756,88845,8821,33486,7154,7308,9747,6604,519,79
2026-05-04,xscm,207225,31724,45487,71373,87443,14894,10395,11594,94528,90952,51091,30111,9785,3253,3774,8477,160,16
2026-05-11,xscm,431844,88194,73701,37217,83597,10909,82598,82591,29562,70203,26000,26899,3665,375,416,5406,938,23
2026-05-18,xscm,331798,95265,93578,82889,62881,92468,90859,62144,77666,44589,74265,53391,292,2508,6632,3616,314,17
2026-05-25,xscm,861359,16114,80800,69092,35474,97202,27629,82872,5287,34347,68215,7627,5189,6337,8217,3390,832,91
2026-06-01,xscm,748958,29629,96520,38142,21684,69276,84297,8070,80061,18344,28396,34749,1140,2074,7661,6225,309,39
2026-06-08,xscm,841122,61479,43729,36481,3452,65589,85631,33309,98684,70188,236,16185,2858,6535,7902,6632,729,75
2026-06-15,xscm,290235,12135,4754,85840,88415,29635,83951,54050,65203,48453,81830,14942,7113,415,7610,9905,169,47
2026-06-22,xscm,542373,68762,58707,93675,73701,48364,75488,81932,73098,18792,23266,30142,5988,6278,9258,5683,930,60
2026-06-29,xscm,469164,37419,38031,52757,69507,66187,80187,5992,28843,8274,50523,22504,1648,9780,1729,7606,468,58
2026-07-06,xscm,738323,10652,49279,99982,58550,48183,50157,50142,79923,83730,56983,75590,1204,2607,7332,81,81,46
2026-07-13,xscm,303404,90382,93956,15667,6530,27175,90925,66397,63591,36897,4437,39300,8357,9069,9501,4841,874,70
