date,province,special,prize1,prize2,prize3_1,prize3_2,prize4_1,prize4_2,prize4_3,prize4_4,prize4_5,prize4_6,prize4_7,prize5,prize6_1,prize6_2,prize6_3,prize7,prize8
2025-09-16,xsdlk,672733,42392,85757,94743,95668,72520,11653,29914,22906,84394,5044,88250,9134,9367,3564,3700,318,53
2025-09-23,xsdlk,764188,75058,10183,10317,59982,36924,92404,2180,52944,25017,21820,87642,1368,2932,8498,3271,855,26
2025-09-30,xsdlk,693869,36145,79332,22431,60074,30118,19335,12490,75727,36132,75879,25395,4893,367,4463,3899,43,94
2025-10-07,xsdlk,248337,76454,77445,18558,84882,29810,59239,40003,36252,72364,9169,95278,4169,2657,4234,3040,359,22
2025-10-14,xsdlk,989447,93988,9069,82046,12698,69932,72628,84760,91118,11024,47482,96125,7232,9157,8421,9289,804,4
2025-10-21,xsdlk,432595,56594,33351,76856,7343,51488,49038,3841,18234,51945,84976,98687,7078,4312,1625,4423,355,48
2025-10-28,xsdlk,956076,31868,84984,60148,71322,17938,19619,11914,70340,87141,62932,28715,6922,9173,1834,5683,187,92
2025-11-04,xsdlk,536376,61583,41699,43689,28675,16638,29902,64079,47599,87469,34482,74164,1464,8084,9846,6872,155,21
2025-11-11,xsdlk,509178,6344,23047,7857,28425,87478,82884,10336,51857,1065,16891,102,8770,1762,996,1360,750,23
2025-11-18,xsdlk,598411,70643,97711,28569,66427,55834,19849,98155,9563,91790,28337,79537,7944,6093,3378,6693,675,87
2025-11-25,xsdlk,22638,6847,14609,79795,67533,33051,71260,58888,91994,28093,39289,82996,3384,913,1468,1716,638,6
2025-12-02,xsdlk,880648,99741,74193,11909,82071,39521,3678,57251,17258,68444,79818,69149,6350,2805,2451,4933,889,89
2025-12-09,xsdlk,834060,89123,37735,38997,82364,30141,29876,53939,75597,1513,29912,62951,8537,2757,2396,750,850,49
2025-12-16,xsdlk,986669,52922,13502,40971,94308,42445,98513,94961,62729,93244,15963,24807,3214,4562,4439,296,663,62
2025-12-23,xsdlk,713075,89301,90851,72489,49560,93639,89995,51997,5913,9510,29697,44460,2222,156,1861,356,850,4
2025-12-30,xsdlk,309744,81368,64035,43783,54386,28106,73550,97961,4063,76845,41587,48094,512,1865,6236,7790,795,79
2026-01-06,xsdlk,117817,37793,83773,94042,52728,77091,7486,93099,91392,43524,55071,32752,1008,5971,3380,403,492,32
2026-01-13,xsdlk,6419,31715,14199,27409,38406,42992,29186,96689,28528,57189,69284,75197,534,1998,4405,7395,753,57
2026-01-20,xsdlk,472104,92779,93566,96993,98322,10946,6920,25572,52991,25089,77386,97194,8338,8001,8129,6658,605,85
2026-01-27,xsdlk,491397,89963,4580,84946,5810,5958,63882,85638,82042,35710,60161,75303,83,9829,9976,7089,896,92
2026-02-03,xsdlk,635211,68010,80061,81907,61038,7145,15218,1489,18212,51970,25519,66210,6737,5559,8195,6664,559,75
2026-02-10,xsdlk,586445,98774,68637,20741,41934,16954,88630,18392,30285,77158,31545,16321,1773,766,9612,8999,925,11
2026-02-17,xsdlk,294566,81005,56061,10754,15204,36317,9017,6690,26439,49200,29824,77850,13,8658,5501,6796,706,51
2026-02-24,xsdlk,539499,42218,19513,94659,12791,45143,21174,53250,29218,85315,16709,75256,3507,1159,3559,8231,464,79
2026-03-03,xsdlk,985231,44494,287,51341,89956,43896,60561,58118,21024,81226,84189,16478,6114,5214,9240,2880,671,80
2026-03-10,xsdlk,21196,90552,11311,76505,43277,97046,55153,95386,59996,45611,92989,4148,6517,1279,6765,2998,632,74
2026-03-17,xsdlk,524027,13561,63677,81293,54219,41473,92883,31465,47791,63728,33902,39899,2414,8148,4568,8934,712,48
2026-03-24,xsdlk,788290,77750,5576,92596,16718,96680,55382,5192,95184,12549,17587,48815,9585,627,2347,5074,942,67
2026-03-31,xsdlk,268201,59024,89692,23164,53514,74549,98005,64262,69882,34526,32799,6738,869,1087,1726,1187,339,21
2026-04-07,xsdlk,31631,87802,11663,54677,33913,66231,19930,72717,77765,73940,86582,55059,3108,944,6936,9673,937,73
2026-04-14,xsdlk,426865,67739,86787,88064,65078,39353,26395,52852,98629,64576,50630,4830,3376,8878,3092,961,742,13
2026-04-21,xsdlk,541284,46467,24624,44669,55177,65445,76773,37439,63101,52433,37602,72049,183,6487,6127,7622,222,4
2026-04-28,xsdlk,271506,79985,51530,408,36509,61835,72710,94245,15847,23766,67292,27721,8317,4340,9796,9082,520,2
2026-05-05,xsdlk,747878,30932,4862,16510,92733,70977,5632,6080,95220,64448,81085,56253,9738,8698,6386,152,759,89
2026-05-12,xsdlk,150732,11785,40400,90023,54532,21032,82702,5000,66266,34445,88607,39631,1619,5698,5814,7666,454,63
2026-05-19,xsdlk,637189,26802,67245,23776,7065,85814,65523,12275,2936,18968,63799,60759,9250,767,3538,8294,185,34
2026-05-26,xsdlk,869390,30347,54607,73518,75682,1544,3822,21855,8411,49163,37136,97823,4346,6908,4603,878,95,13
2026-06-02,xsdlk,455852,80947,28264,19403,89367,99970,85626,55514,53492,3060,55337,66559,5686,5035,670,1403,195,26
2026-06-09,xsdlk,397486,92051,20698,88804,32394,88550,89483,19375,30887,21394,46200,57115,2886,1206,5448,4900,733,87
2026-06-16,xsdlk,503026,15993,30818,48089,76377,5910,54946,14245,12851,11676,95066,3982,5725,53,2702,2487,461,48
2026-06-23,xsdlk,743275,7272,65258,89640,13576,59028,85681,86414,85419,20291,77024,33299,1645,9290,3974,2230,927,42
2026-06-30,xsdlk,134812,25482,40839,19701,52102,36078,28329,29861,43814,15339,45283,74139,9028,9766,307,5832,865,35
2026-07-07,xsdlk,620584,72951,4057,78786,68712,81770,90921,55452,76845,33316,37171,2846,4406,2932,9553,7340,572,36
2026-07-14,xsdlk,968054,19211,91929,80290,54760,36962,41295,40381,40210,53338,14699,66948,3419,9014,1169,3661,918,36
