date,special,prize1,prize2,prize3_1,prize3_2,prize4_1,prize4_2,prize4_3,prize4_4,prize4_5,prize4_6,prize4_7,prize5,prize6_1,prize6_2,prize6_3,prize7,prize8
2025-09-17,45,15,95,36,68,84,32,56,84,74,74,55,96,45,30,79,50,95
2025-09-20,70,57,42,50,66,67,42,58,49,63,49,34,56,60,61,28,79,25
2025-09-24,34,2,95,57,84,54,89,66,78,94,95,74,2,46,54,67,47,65
2025-09-27,86,60,59,79,49,68,15,50,15,62,18,0,32,83,94,26,25,8
2025-10-01,6,2,98,97,2,80,35,46,20,38,43,5,1,56,83,13,34,22
2025-10-04,99,92,31,41,62,37,95,80,1,69,76,98,19,54,45,21,39,40
2025-10-08,87,50,91,77,84,89,72,82,77,42,29,67,21,91,73,36,62,83
2025-10-11,74,75,62,59,72,58,28,63,47,93,3,49,6,73,36,88,17,15
2025-10-15,42,88,41,67,82,35,97,24,15,5,22,46,5,69,78,51,29,41
2025-10-18,53,87,29,26,59,65,61,79,26,55,15,69,29,27,9,30,91,59
2025-10-22,70,76,75,62,80,59,85,72,41,55,24,67,58,74,81,33,23,57
2025-10-25,16,34,59,17,22,92,13,44,16,95,0,76,3,96,8,91,2,66
2025-10-29,35,90,14,68,28,87,39,55,64,58,31,52,36,71,65,55,33,36
2025-11-01,64,41,56,31,96,79,68,19,96,35,52,12,7,89,18,18,10,33
2025-11-05,1,69,37,95,48,52,73,45,44,46,78,24,21,19,20,84,51,14
2025-11-08,21,78,9,29,54,93,18,79,16,68,58,90,19,3,87,32,81,97
2025-11-12,24,14,52,55,25,69,59,51,12,51,60,88,19,27,32,91,75,46
2025-11-15,97,10,2,20,63,0,17,82,7,79,33,74,45,89,96,81,65,46
2025-11-19,57,79,92,42,14,57,59,55,67,67,16,11,18,15,14,45,6,19
2025-11-22,13,19,41,60,41,3,83,71,18,3,19,16,4,39,24,79,14,38
2025-11-26,64,61,15,40,65,90,86,92,96,78,33,33,27,88,15,32,93,6
2025-11-29,1,38,19,86,62,29,92,34,44,91,99,79,78,20,84,95,6,12
2025-12-03,41,23,91,80,14,80,98,9,42,52,43,27,91,44,87,65,64,22
2025-12-06,99,76,87,38,42,71,2,89,24,28,31,60,21,19,41,70,99,82
2025-12-10,71,16,65,9,9,7,4,32,58,2,84,88,82,93,62,54,83,29
2025-12-13,23,10,81,92,19,4,58,6,36,67,22,77,94,49,31,1,61,59
2025-12-17,2,94,54,84,97,54,25,24,46,70,43,6,41,52,15,4,46,65
2025-12-20,88,77,12,62,79,90,53,49,25,87,62,13,1,9,70,85,77,40
2025-12-24,0,0,68,7,38,76,97,20,16,15,8,67,84,17,63,34,30,61
2025-12-27,13,43,95,80,37,1,43,57,91,63,80,30,71,24,37,48,25,38
2025-12-31,82,61,35,37,54,40,90,15,47,90,86,48,79,92,55,51,13,15
2026-01-03,76,80,29,75,32,49,51,66,0,22,73,93,26,53,25,0,76,90
2026-01-07,57,62,29,98,92,79,12,76,98,64,42,11,43,63,76,84,57,53
2026-01-10,33,26,30,35,2,28,87,56,19,91,53,11,68,13,12,39,60,61
2026-01-14,4,17,88,4,1,79,87,6,98,60,88,14,25,74,22,51,10,74
2026-01-17,47,44,82,88,29,29,41,72,99,88,73,67,89,33,48,3,9,76
2026-01-21,11,91,57,9,90,78,97,78,49,47,68,6,75,74,92,18,89,82
2026-01-24,74,76,59,13,6,56,11,71,43,46,63,47,49,7,61,79,48,59
2026-01-28,36,1,50,77,27,85,57,73,93,33,84,76,30,43,30,9,21,7
2026-01-31,10,86,47,27,5,57,53,47,81,72,56,70,32,39,87,77,26,55
2026-02-04,89,20,55,59,72,95,87,30,98,94,87,52,98,71,52,35,4,34
2026-02-07,29,46,11,72,11,39,75,30,89,99,92,61,7,82,4,74,7,18
2026-02-11,55,21,0,55,35,47,56,74,92,31,68,96,40,42,7,63,84,92
2026-02-14,44,59,11,40,17,81,51,11,71,51,18,63,14,43,26,37,75,52
2026-02-18,85,5,74,82,33,91,97,5,13,50,65,62,61,8,6,62,92,98
2026-02-21,92,18,1,99,7,62,2,62,47,82,54,55,43,53,69,45,89,58
2026-02-25,57,25,85,33,99,1,48,64,24,76,11,24,16,33,22,37,98,56
2026-02-28,36,22,9,36,26,12,36,23,13,19,47,92,55,78,61,88,50,26
2026-03-04,61,29,98,97,25,23,2,53,88,63,47,79,39,44,9,54,76,96
2026-03-07,55,52,58,32,91,68,98,10,33,2,88,73,82,40,69,13,90,11
2026-03-11,66,65,5,68,85,62,99,8,48,25,32,11,45,99,43,74,15,67
2026-03-14,1,34,79,67,13,53,45,12,36,64,79,22,92,4,81,50,73,55
2026-03-18,5,99,18,93,48,90,96,48,40,28,8,61,26,89,46,93,82,44
2026-03-21,32,36,78,88,12,35,48,55,9,78,37,47,95,89,88,51,36,63
2026-03-25,10,42,98,15,38,85,8,39,75,46,8,47,22,29,54,86,71,55
2026-03-28,20,56,81,2,40,37,29,62,41,92,45,73,90,58,90,82,14,18
2026-04-01,38,63,76,67,95,83,9,21,0,91,5,75,98,80,85,94,12,46
2026-04-04,55,77,11,51,30,45,28,66,10,2,2,35,87,18,47,66,72,80
2026-04-08,97,78,22,59,65,23,2,2,23,62,68,17,67,74,84,22,78,35
2026-04-11,28,55,51,22,89,40,75,8,4,23,7,32,41,3,66,6,90,12
2026-04-15,85,37,5,76,52,67,82,47,80,84,29,49,85,29,14,29,74,47
2026-04-18,35,89,75,64,88,0,91,19,8,9,6,96,36,28,67,54,66,82
2026-04-22,60,30,72,6,71,34,5,59,9,8,70,54,5,29,11,24,30,28
2026-04-25,81,63,49,69,49,27,45,56,63,57,30,81,47,89,43,50,38,18
2026-04-29,99,26,0,76,42,56,46,24,92,25,23,86,2,38,25,44,35,88
2026-05-02,79,79,4,42,94,2,62,87,41,94,67,90,53,49,97,23,28,24
2026-05-06,69,46,71,41,59,45,73,2,83,79,96,91,72,48,40,47,38,21
2026-05-09,99,24,3,20,43,24,49,0,41,11,61,90,84,54,35,34,19,9
2026-05-13,92,96,37,59,60,90,11,60,35,44,48,15,74,87,23,18,70,6
2026-05-16,70,44,94,5,8,64,49,17,56,38,79,17,11,15,15,24,24,65
2026-05-20,31,10,6,4,89,48,28,18,22,29,18,46,33,50,0,27,15,81
2026-05-23,18,16,95,30,14,91,23,35,59,94,39,64,39,49,49,88,80,55
2026-05-27,99,34,6,87,45,44,1,48,8,49,91,69,59,78,14,2,91,66
2026-05-30,36,61,52,37,6,21,11,23,79,59,83,68,43,51,89,25,89,13
2026-06-03,75,46,50,68,59,23,46,11,58,35,81,75,22,35,18,17,87,95
2026-06-06,65,25,9,80,2,37,3,89,84,27,59,5,66,4,71,66,71,89
2026-06-10,70,66,20,71,40,43,55,89,36,60,17,77,39,11,87,58,54,5
2026-06-13,9,84,14,49,85,4,39,52,12,56,75,42,39,14,74,61,71,54
2026-06-17,96,3,0,40,42,44,38,89,54,41,94,55,39,61,16,93,63,75
2026-06-20,84,93,41,50,62,43,8,1,73,29,53,12,36,17,52,50,11,83
2026-06-24,70,32,72,55,57,36,38,19,4,81,27,99,25,33,49,42,12,72
2026-06-27,19,13,97,58,69,66,95,56,58,2,24,70,2,79,45,8,78,4
2026-07-01,66,72,41,3,21,67,72,76,67,81,50,49,40,21,11,27,4,21
2026-07-04,68,16,27,31,11,85,45,93,71,78,70,61,63,11,42,51,85,78
2026-07-08,96,45,14,49,14,87,22,80,74,29,79,54,13,29,89,38,56,53
2026-07-11,64,69,3,73,62,80,31,92,81,86,20,17,64,81,71,29,72,3
