date,province,special,prize1,prize2,prize3_1,prize3_2,prize4_1,prize4_2,prize4_3,prize4_4,prize4_5,prize4_6,prize4_7,prize5,prize6_1,prize6_2,prize6_3,prize7,prize8
2025-09-17,xsdna,422645,27615,87095,56936,79268,33484,59832,37156,85184,92174,57174,46655,596,5245,2730,5479,950,95
2025-09-20,xsdna,864370,5357,2742,73050,66766,74367,18842,1958,33749,59363,78649,55634,5456,2960,4861,7428,779,25
2025-09-24,xsdna,357134,27502,595,9457,94684,40354,70589,53266,66978,69894,64395,31874,1002,6046,3554,7867,247,65
2025-09-27,xsdna,888186,69760,94159,9579,27049,76468,51515,63750,73415,12262,24818,80900,5432,5783,1194,226,125,8
2025-10-01,xsdna,732606,13402,86198,55597,8302,69580,44835,4546,93420,11738,80143,63705,5001,1756,1983,5013,234,22
2025-10-04,xsdna,86699,44392,59231,29641,89862,50137,38195,76380,10701,21069,61076,11098,9719,1154,8845,7521,139,40
2025-10-08,xsdna,554487,21550,10291,3077,86284,3389,89572,56482,67877,71642,40429,76367,2521,2091,7973,2836,562,83
2025-10-11,xsdna,636674,65875,69662,62559,23972,81558,37828,99063,81947,99293,63003,14249,4706,9473,8936,2288,17,15
2025-10-15,xsdna,308242,19488,69041,48567,95082,70235,71897,81624,12715,42505,9122,15846,1005,5869,4378,151,29,41
2025-10-18,xsdna,490353,36487,56029,52826,50759,60265,6461,87079,38026,955,21715,58669,2229,5127,3709,2130,991,59
2025-10-22,xsdna,595270,74276,36975,33262,97280,74059,4885,55272,55641,64655,80724,55667,2658,5574,4781,6233,723,57
2025-10-25,xsdna,912916,38634,11659,19317,65522,84792,28813,60244,81916,48895,73800,55376,9303,1396,1308,9391,2,66
2025-10-29,xsdna,518935,490,98114,8668,7628,74587,89339,91255,58664,88058,54031,82352,8536,1471,565,555,333,36
2025-11-01,xsdna,36664,25541,57256,14831,5096,57179,19668,14519,82796,46235,61152,3912,8207,9589,6218,5218,210,33
2025-11-05,xsdna,39701,73469,78937,40495,53848,56152,82373,65845,94444,73546,73178,52924,5621,4019,8420,5984,351,14
2025-11-08,xsdna,308821,78478,44309,8329,71854,32193,82718,77279,50116,59568,13258,85590,8519,2903,4687,8132,881,97
2025-11-12,xsdna,829524,46414,80352,6355,20825,41069,87559,80551,98912,27551,15060,76288,4719,6627,1532,2991,375,46
2025-11-15,xsdna,208197,310,64702,32620,30663,68600,62017,99282,88007,76079,66433,10574,9545,4689,2496,6781,165,46
2025-11-19,xsdna,588257,32079,5092,30342,71614,82557,21959,9655,63767,86367,40316,61811,5818,2915,6014,7345,806,19
2025-11-22,xsdna,780813,15019,15141,59860,14341,98703,68583,9271,28118,6303,5219,84416,9704,3139,8524,679,314,38
2025-11-26,xsdna,114364,6461,68415,94540,22665,94990,61186,60092,49496,75978,51033,69633,27,6588,5115,632,293,6
2025-11-29,xsdna,826701,20238,41319,58486,27862,86929,73392,43834,37344,8491,16899,76879,1378,3020,5284,7395,606,12
2025-12-03,xsdna,90741,46623,49091,69480,35014,66780,61198,48209,91042,9852,93043,52727,6991,7044,3687,1065,964,22
2025-12-06,xsdna,419499,84676,45487,21838,43842,48171,73902,95989,95624,63928,68031,36060,9021,9519,9641,3770,699,82
2025-12-10,xsdna,229771,98716,96365,95109,12109,41607,33304,61032,34858,76202,77084,13488,1082,3893,262,4154,183,29
2025-12-13,xsdna,876923,71110,30181,51992,51019,60904,458,65606,87636,50667,57522,30077,394,4349,7931,4101,61,59
2025-12-17,xsdna,133502,11394,72954,30884,36797,62654,59625,89124,8746,44270,26343,37806,6241,2052,8615,6704,546,65
2025-12-20,xsdna,384288,12377,79812,16662,13379,33090,83053,53149,5825,4387,2662,68713,3701,8309,3670,9085,777,40
2025-12-24,xsdna,246700,26600,17768,28107,13038,22976,76997,89520,33716,28415,50908,98267,5084,4817,7163,534,30,61
2025-12-27,xsdna,133013,11343,8995,24580,22237,86601,10843,61857,30091,59463,52280,27730,3671,1924,8837,3648,25,38
2025-12-31,xsdna,130082,72361,76835,72337,51954,29240,81190,52415,36447,75290,12386,97648,4679,4792,9455,5951,413,15
2026-01-03,xsdna,907776,6280,82629,8075,21532,30549,10651,72866,46500,52122,65173,49693,7026,9853,6325,7200,976,90
2026-01-07,xsdna,808557,12762,52429,87698,10592,10279,512,54276,75998,36564,64242,26811,4643,463,2876,8084,857,53
2026-01-10,xsdna,58133,20826,56630,27335,24502,4228,74987,59056,95219,82991,18453,18311,1368,4213,4612,3139,60,61
2026-01-14,xsdna,126704,49417,39388,504,43301,17079,89187,89106,80598,55760,1088,51414,4425,2974,6022,6651,310,74
2026-01-17,xsdna,378347,7644,36582,63688,16529,23129,79841,34372,9399,58888,18273,10167,3789,5333,6848,7903,209,76
2026-01-21,xsdna,470111,20791,41257,22909,31490,83478,50497,75278,26749,74947,37168,50506,1275,3674,5392,918,589,82
2026-01-24,xsdna,213974,27176,61759,12913,47706,37656,32811,59271,64143,82546,14863,18147,6349,9607,261,5279,648,59
2026-01-28,xsdna,780736,47601,79850,3877,46027,95385,69657,11973,53993,73133,37484,61176,5830,5143,1730,209,721,7
2026-01-31,xsdna,316510,17286,94947,80227,68405,42057,30553,94647,47681,4772,43656,9170,5932,2239,2087,277,326,55
2026-02-04,xsdna,78289,29220,80955,23459,13572,26695,58487,15430,37598,16394,88987,69752,3398,271,8352,2835,504,34
2026-02-07,xsdna,92929,66846,75011,90872,31811,18039,92575,53630,93489,91799,55592,38861,5407,3082,6304,4074,907,18
2026-02-11,xsdna,991155,42821,40600,45455,59835,72747,50856,72674,8992,35831,39168,71896,940,1842,6507,6863,984,92
2026-02-14,xsdna,508844,89259,1011,36540,45617,19081,34751,38911,60771,90451,62418,69363,6514,8943,5926,4237,475,52
2026-02-18,xsdna,255685,76305,10974,70682,98633,11491,61297,33605,56113,38850,10865,82462,9761,7608,6906,5462,192,98
2026-02-21,xsdna,805092,66618,23801,38299,2407,52162,86702,92462,32647,82782,71354,82655,8843,4253,2069,2745,889,58
2026-02-25,xsdna,203857,99725,41085,38933,7099,19101,148,86964,62924,1276,29211,70624,9616,1633,7722,1737,598,56
2026-02-28,xsdna,796736,64122,97609,43236,98426,65512,11136,80123,81313,39819,13747,41192,7155,378,1761,2088,150,26
2026-03-04,xsdna,18361,82129,26898,6697,12125,84623,28202,51753,43888,59463,59647,92379,7639,6644,3009,9554,776,96
2026-03-07,xsdna,725155,11552,8658,93232,70491,54868,78798,26110,61033,32902,22788,80873,7182,3840,8669,6513,690,11
2026-03-11,xsdna,371566,34565,25205,1368,50085,21262,47999,99008,82848,69025,23632,16611,2545,7599,5543,4774,815,67
2026-03-14,xsdna,128901,1534,53679,96667,85413,63353,1845,4212,80136,97964,25379,12322,4192,9904,4281,8250,473,55
2026-03-18,xsdna,366105,93299,41218,60293,72148,10190,54396,28548,68740,93728,92508,35161,4726,1089,5546,493,282,44
2026-03-21,xsdna,828132,38136,88278,54788,17612,14735,85048,21155,42009,40078,10137,35947,8795,9989,6588,9551,936,63
2026-03-25,xsdna,472810,42442,6698,39715,85138,52185,91308,14039,375,29446,58608,14847,6422,9629,5554,3986,471,55
2026-03-28,xsdna,205020,90756,75481,59402,10940,83137,89529,73362,64441,96892,8845,20873,3490,6658,690,982,314,18
2026-04-01,xsdna,941738,20763,60276,89867,53495,60383,43909,89221,71300,63891,88105,26475,8098,1980,4185,6894,412,46
2026-04-04,xsdna,295755,62877,63911,82551,90730,3045,21728,58966,7610,26302,85002,70935,3487,3118,9747,4966,672,80
2026-04-08,xsdna,765097,87078,96422,60459,46165,75023,10802,25302,11923,3462,53268,26717,5767,1574,4984,6022,678,35
2026-04-11,xsdna,115128,48155,25851,95122,79489,85940,85075,3108,10504,37323,62007,23832,4741,8003,5666,3806,190,12
2026-04-15,xsdna,424885,45337,15405,24176,98352,68967,66082,51347,52280,37284,63029,44449,8685,4529,9214,629,74,47
2026-04-18,xsdna,265235,85389,80775,4564,99688,32800,12691,51119,40608,40109,56006,30996,8236,228,1567,2954,766,82
2026-04-22,xsdna,595660,26730,81472,88606,88171,82034,29905,67159,39609,78208,17270,40754,2205,4229,1811,9224,830,28
2026-04-25,xsdna,671181,81563,9449,46669,29249,52727,73345,12556,68063,23457,38830,46081,7047,1389,9243,3450,338,18
2026-04-29,xsdna,618399,80526,28600,40276,36842,60956,82446,52424,40692,63825,91223,38386,4902,1838,3225,3044,635,88
2026-05-02,xsdna,192479,1079,104,20842,35094,19302,24162,63987,35941,31494,24167,62990,7453,7449,4197,7923,628,24
2026-05-06,xsdna,669069,74446,61571,46941,70159,68845,34773,52002,6083,68579,26196,28191,6072,8848,5140,5947,38,21
2026-05-09,xsdna,781899,44824,94103,71520,69443,93024,68649,38800,44641,69111,31761,28290,7484,3854,8335,2734,319,9
2026-05-13,xsdna,579392,88396,42237,70559,1860,58190,71711,71460,95035,71644,20648,86015,4474,4287,323,6718,70,6
2026-05-16,xsdna,561370,64444,67094,44405,7608,98464,96849,20317,2356,21138,6379,14217,6011,4215,115,3224,124,65
2026-05-20,xsdna,762531,63610,7806,99304,79089,85548,51828,57518,41522,73029,97018,87846,4233,2450,5900,7027,815,81
2026-05-23,xsdna,380518,91116,59795,55930,81714,48191,5823,55035,58859,89594,22739,93964,1239,9049,2049,9688,580,55
2026-05-27,xsdna,487799,77334,98806,33287,23945,30144,84901,66248,96908,40449,71991,29969,8859,7278,6614,7102,891,66
2026-05-30,xsdna,778936,18961,19552,75837,506,84621,39911,57623,65279,88359,51483,92168,2043,2851,4289,1625,589,13
2026-06-03,xsdna,725175,47246,28750,66268,85559,59923,44046,10311,35258,60535,20781,54375,4022,7035,8118,8917,487,95
2026-06-06,xsdna,390165,32325,32409,85780,99202,87237,95403,91289,18084,98927,84459,32205,9666,9204,5071,9666,871,89
2026-06-10,xsdna,446670,8966,33220,43071,88640,2743,44955,83889,60836,96360,52717,89077,6539,4411,6387,6458,554,5
2026-06-13,xsdna,61809,24884,18514,65649,11585,3504,24539,43152,35112,61656,16675,70142,1739,314,5674,4561,771,54
2026-06-17,xsdna,801196,76603,92700,6340,43842,58344,39838,31489,49854,95641,80694,55855,9539,5961,6616,2393,563,75
2026-06-20,xsdna,293184,14793,16941,30950,11562,3543,76008,26601,35173,98629,38653,6512,6136,4017,552,3750,811,83
2026-06-24,xsdna,35170,76232,94872,5155,37357,69036,80038,38919,21204,12481,1027,14199,325,4833,3349,2742,512,72
2026-06-27,xsdna,911019,43413,88197,3858,31569,8966,63895,96256,65258,62202,22224,59970,6002,8879,4045,3608,778,4
2026-07-01,xsdna,310566,96472,89841,23603,40021,45967,30572,92576,33867,87781,70350,73249,4840,5821,3111,1127,204,21
2026-07-04,xsdna,912568,81416,6627,79831,78011,87385,58945,65793,12271,61378,9870,53761,9063,6611,9842,2351,285,78
2026-07-08,xsdna,690396,19145,83614,23949,31214,1487,77222,47980,42374,66029,96979,57754,5513,7529,3389,2638,856,53
