date,province,special,prize1,prize2,prize3_1,prize3_2,prize4_1,prize4_2,prize4_3,prize4_4,prize4_5,prize4_6,prize4_7,prize5,prize6_1,prize6_2,prize6_3,prize7,prize8
2025-09-20,xsdno,878196,88961,48066,36557,62366,35782,54777,16583,21447,18526,51365,80730,9908,8738,2569,7398,597,78
2025-09-27,xsdno,843701,63663,94046,93129,70912,62102,91480,65262,59131,83881,53326,47463,6910,4654,7515,4221,571,86
2025-10-04,xsdno,211516,50891,16823,32060,60746,19649,37363,6243,33590,84797,600,7331,9569,5684,2784,8023,911,72
2025-10-11,xsdno,351574,32904,53707,93699,73109,91751,43291,42613,28190,97110,45914,91925,3502,4653,8466,1748,281,86
2025-10-18,xsdno,319779,51262,1944,97904,10327,36025,26989,49782,25746,14889,40848,35150,2024,7711,4684,3449,17,80
2025-10-25,xsdno,401390,40554,59330,98505,25519,85515,44478,18322,50210,48122,96303,41795,3864,4455,6604,2756,858,83
2025-11-01,xsdno,917890,15453,98251,56146,97460,26044,96972,81061,97351,65756,84248,59817,7374,5777,599,3500,668,13
2025-11-08,xsdno,624698,16646,23637,15052,16682,34094,94608,68568,9746,5854,77367,14730,4770,9696,3476,1609,897,24
2025-11-15,xsdno,255086,75236,5319,54465,705,82512,52703,51746,61820,48217,67015,68587,4138,4842,3098,7830,165,6
2025-11-22,xsdno,421928,35369,65757,27823,34047,59313,10879,40202,94487,50062,23202,94419,7958,9522,7857,5341,252,81
2025-11-29,xsdno,342832,32954,40688,17823,47190,4109,21495,88832,28101,12505,6737,52618,3733,2205,7568,9685,296,28
2025-12-06,xsdno,547993,74597,49416,27756,44174,10094,61989,1048,54751,6032,89347,29668,7387,5928,7302,7641,201,3
2025-12-13,xsdno,727601,55270,27774,23615,93801,33816,96015,21647,97236,91754,72162,46146,4691,1592,1443,2682,896,49
2025-12-20,xsdno,86218,43282,8500,9715,98807,77009,9765,30684,68314,65277,63325,96070,435,1864,8035,7165,505,37
2025-12-27,xsdno,4488,35936,93908,28811,33891,37415,49225,35070,4859,56937,96456,63791,7294,7686,693,8761,707,1
2026-01-03,xsdno,980053,45240,79277,60333,13963,17743,32214,88115,11710,912,38779,32010,2347,5114,1309,6672,72,46
2026-01-10,xsdno,902399,26221,70138,96937,50628,43834,90001,47943,74847,54311,75852,92278,3534,6686,3274,4423,437,37
2026-01-17,xsdno,444503,87941,66407,8495,78827,58994,20519,30725,55703,96536,99377,40255,1006,7516,9604,2900,901,2
2026-01-24,xsdno,499935,45826,21234,13154,12707,10674,8699,96323,94599,99530,96480,23554,2906,1715,6524,8987,189,78
2026-01-31,xsdno,931487,7850,13187,12774,72829,72120,62144,71027,17997,4748,62316,23174,3580,9687,8381,4277,829,13
2026-02-07,xsdno,727264,49807,48478,41681,70333,21834,46857,37255,68693,15443,84319,72524,3480,674,890,5002,950,57
2026-02-14,xsdno,342908,26885,15254,64146,10559,42578,71655,6022,96726,64567,38430,85359,66,6569,6241,923,612,22
2026-02-21,xsdno,444375,10992,38566,90337,49590,49525,92541,73425,62140,20564,77954,34129,8922,5120,9996,5978,776,79
2026-02-28,xsdno,362388,49446,96191,18760,23653,2810,97919,4270,65157,62393,61812,43947,5178,601,7110,7832,166,47
2026-03-07,xsdno,813698,50468,39166,92238,95293,89646,3984,49419,72541,59410,83270,39788,2127,4566,2250,1925,571,34
2026-03-14,xsdno,553563,51368,8133,33759,79585,86991,66453,68094,89475,33554,26281,50780,3554,4193,2058,7946,173,60
2026-03-21,xsdno,922700,28884,46401,58466,59723,44216,52172,37796,9249,45432,26558,62067,3008,8688,3330,1627,246,55
2026-03-28,xsdno,617439,93191,39847,97960,64289,3987,95842,11707,64298,551,75307,43937,1322,2470,6134,976,609,24
2026-04-04,xsdno,573173,27610,73424,76996,87394,32471,27979,19769,73052,16073,87115,14516,5013,6802,5508,912,577,70
2026-04-11,xsdno,578964,39565,29737,19399,46221,54780,6966,5648,50663,35232,62458,13145,5415,5697,3979,247,276,48
2026-04-18,xsdno,150040,30672,51790,13948,20742,45355,43002,97408,75683,22963,38,93037,5597,9183,8717,2090,345,26
2026-04-25,xsdno,963857,63224,65954,82234,72030,3204,87939,19034,45481,63999,87070,2321,4898,8649,8487,3328,71,17
2026-05-02,xsdno,178608,72144,87445,92811,72035,13007,46804,89312,82326,94789,83425,69454,4723,2363,2888,9462,651,26
2026-05-09,xsdno,155727,8188,36157,46294,36969,29225,34402,1259,68479,22502,17372,37901,9240,9638,6284,4187,155,9
2026-05-16,xsdno,128367,69463,45418,42991,58930,81138,4903,10105,14519,37617,82575,36670,6222,4820,2679,3589,694,97
2026-05-23,xsdno,715514,88158,45298,47257,23133,77985,3406,30401,24658,75443,60175,63207,2130,6344,1641,2784,202,68
2026-05-30,xsdno,374269,35789,3068,38162,80587,79952,58647,23792,68494,1560,96460,63896,5030,1098,8087,6858,428,29
2026-06-06,xsdno,77423,79293,61816,12391,47651,13240,78361,54850,41151,82500,64884,65125,2481,8141,4267,801,304,58
2026-06-13,xsdno,700077,68094,18493,74085,35643,77013,94082,90312,42347,78711,4158,32948,5077,8186,5142,6767,369,82
2026-06-20,xsdno,144684,85625,61654,98254,67983,54366,79015,77367,19680,21882,30379,22678,20,4391,5309,9392,429,10
2026-06-27,xsdno,985077,57732,53090,50222,49611,22069,82470,14797,67051,28982,53006,96717,4965,4752,142,2395,986,49
2026-07-04,xsdno,475467,56268,49985,9291,20376,51952,32587,72998,32237,52194,1896,93833,5471,5095,7954,4518,732,56
2026-07-11,xsdno,664135,13161,86985,47857,77427,30526,68121,49564,40869,70652,17346,77450,4923,4478,3116,3895,31,46
