date,special,prize1,prize2,prize3_1,prize3_2,prize4_1,prize4_2,prize4_3,prize4_4,prize4_5,prize4_6,prize4_7,prize5,prize6_1,prize6_2,prize6_3,prize7,prize8
2025-09-19,67,69,81,37,67,82,7,7,79,17,50,71,99,50,0,13,41,14
2025-09-26,46,21,48,26,21,40,10,94,91,72,30,77,13,53,25,0,30,56
2025-10-03,90,24,44,36,15,15,73,75,88,31,60,15,73,9,89,35,22,4
2025-10-10,13,90,22,75,79,16,34,17,11,68,65,54,53,1,82,90,78,15
2025-10-17,34,80,47,81,63,27,51,43,26,44,14,3,8,93,63,69,76,29
2025-10-24,73,66,83,54,55,82,47,42,92,10,24,3,93,22,95,16,37,3
2025-10-31,90,91,93,44,27,4,27,87,9,30,9,78,29,77,47,28,61,71
2025-11-07,8,51,89,87,96,75,3,93,43,6,85,39,38,66,15,62,41,87
2025-11-14,30,59,79,15,67,67,44,69,10,45,99,30,33,76,5,43,93,77
2025-11-21,85,93,85,80,88,29,3,35,38,7,34,98,80,26,58,62,61,67
2025-11-28,63,94,44,16,10,10,26,74,45,63,96,39,13,50,25,23,51,46
2025-12-05,99,36,87,57,47,8,93,30,89,60,86,1,10,1,39,50,22,95
2025-12-12,9,44,4,96,83,50,69,88,1,28,73,83,8,36,24,16,84,76
2025-12-19,14,82,41,54,43,29,95,24,13,74,67,83,39,76,45,20,87,18
2025-12-26,36,76,56,6,42,21,73,90,35,77,79,62,62,61,89,14,46,1
2026-01-02,68,26,43,86,69,65,63,31,98,46,6,93,71,0,91,74,9,75
2026-01-09,52,32,91,33,6,97,26,89,38,74,18,34,63,44,71,63,70,45
2026-01-16,45,65,22,30,32,9,57,36,45,98,87,19,71,34,93,25,41,57
2026-01-23,50,91,55,2,19,96,53,41,31,78,58,71,1,37,70,97,16,32
2026-01-30,59,93,81,71,9,14,64,96,52,81,45,34,88,80,2,36,30,23
2026-02-06,60,0,57,62,11,20,43,32,86,17,52,7,1,95,30,65,82,74
2026-02-13,82,20,93,73,54,37,4,93,96,24,78,92,49,37,29,16,5,66
2026-02-20,43,31,90,10,87,20,25,82,50,46,55,60,15,15,41,19,33,48
2026-02-27,21,33,38,61,76,97,19,27,11,6,19,83,92,46,99,61,61,16
2026-03-06,19,92,80,44,92,22,13,91,55,11,71,80,76,18,31,93,48,58
2026-03-13,7,79,5,40,5,54,17,44,99,97,41,50,40,90,7,82,24,52
2026-03-20,34,96,28,12,22,43,9,36,36,7,55,92,7,99,31,18,30,44
2026-03-27,31,7,9,78,57,38,16,76,18,13,26,7,81,0,66,44,24,0
2026-04-03,69,83,7,87,61,14,26,5,96,0,67,11,83,9,99,91,81,37
2026-04-10,0,59,1,27,96,20,71,51,71,67,38,95,77,16,30,30,87,97
2026-04-17,7,5,23,42,10,50,82,77,42,6,27,65,52,9,53,2,29,49
2026-04-24,0,16,41,25,32,46,54,50,7,24,38,34,83,37,52,42,61,32
2026-05-01,30,61,91,0,84,65,4,63,33,93,75,71,93,30,90,96,54,17
2026-05-08,82,72,44,46,29,18,1,56,78,27,24,27,98,86,83,46,36,10
2026-05-15,11,18,6,70,91,83,55,96,29,86,89,63,99,34,75,95,33,45
2026-05-22,1,48,88,16,57,98,85,44,11,42,3,91,47,68,67,3,13,81
2026-05-29,64,2,90,56,19,50,85,98,91,84,57,92,80,17,78,66,80,97
2026-06-05,16,23,45,26,94,13,63,44,5,14,59,62,73,14,36,88,27,10
2026-06-12,65,90,96,11,8,25,71,85,99,94,74,56,26,90,56,61,16,61
2026-06-19,19,53,94,40,86,34,65,90,62,28,37,8,50,60,16,39,57,31
2026-06-26,73,1,28,45,87,99,3,90,16,64,20,43,40,79,83,86,5,90
2026-07-03,77,81,69,71,79,46,13,55,89,46,99,86,82,79,93,78,87,66
2026-07-10,65,5,39,21,24,44,29,4,68,38,2,75,23,54,5,39,0,95
2026-07-17,64,4,82,6,68,41,16,66,87,30,14,77,5,50,51,6,5,23
