date,province,special,prize1,prize2,prize3_1,prize3_2,prize4_1,prize4_2,prize4_3,prize4_4,prize4_5,prize4_6,prize4_7,prize5,prize6_1,prize6_2,prize6_3,prize7,prize8
2025-09-19,xsgl,662767,4469,27981,88937,91567,73382,10207,34207,9679,83817,61650,59071,6399,2950,5000,9113,841,14
2025-09-26,xsgl,996946,21921,98248,95426,28021,26740,95710,47494,55091,42672,4330,96677,3813,1453,3025,3900,830,56
2025-10-03,xsgl,222490,88224,43644,23336,44815,20915,62873,70875,48488,17231,23560,96315,3373,9,8889,2135,22,4
2025-10-10,xsgl,179313,90990,73722,74575,8379,74116,41034,22817,21311,52968,52665,71554,1353,7701,9382,5690,878,15
2025-10-17,xsgl,308734,15280,38447,78081,63663,90327,72451,16043,5226,13544,61714,89603,7208,6493,5563,5369,776,29
2025-10-24,xsgl,746273,86866,34083,5454,39755,38382,43947,7442,84792,22710,59224,31303,993,7322,4495,2416,237,3
2025-10-31,xsgl,148690,7691,52493,56544,56127,26604,68027,17887,17309,8230,53509,5278,9429,3777,7547,4028,561,71
2025-11-07,xsgl,39508,88151,84289,56187,39396,86075,27303,51793,46343,35306,885,79439,7138,7666,4815,6362,341,87
2025-11-14,xsgl,828530,66059,59879,94715,17567,96967,2144,35169,43010,43845,59199,40130,5933,5176,1205,6843,593,77
2025-11-21,xsgl,596485,55093,84585,84680,56188,74129,51103,81735,28838,69607,46334,23698,780,2226,3258,5562,761,67
2025-11-28,xsgl,609963,84294,92344,10716,110,1410,98126,51374,12645,46563,87796,12139,1913,7050,3325,6623,151,46
2025-12-05,xsgl,97599,60236,10887,55657,85347,39508,61093,98130,56589,9360,23386,35801,5110,1001,7539,7950,822,95
2025-12-12,xsgl,992209,74844,2204,89696,54283,42950,10669,34188,15201,46028,85573,23083,5608,9736,9824,7416,284,76
2025-12-19,xsgl,797714,29182,2741,72254,85143,57929,18095,9924,97213,55374,85067,59583,8839,6276,8545,5720,987,18
2025-12-26,xsgl,777236,38976,86256,2606,78542,2121,64373,9090,72235,15177,29379,17462,162,5261,8489,214,346,1
2026-01-02,xsgl,370468,31826,41743,70286,24769,57365,78463,1131,46198,33446,46006,44593,4771,2000,8691,8874,209,75
2026-01-09,xsgl,848952,90732,39691,16833,49206,19397,65026,55689,75138,40274,43218,36234,1963,2644,5971,7163,170,45
2026-01-16,xsgl,480145,96165,39722,34330,89732,37909,91257,19636,72645,64698,83387,1519,2871,4734,1393,4125,241,57
2026-01-23,xsgl,706250,38291,36255,84202,21419,35296,94253,88041,59331,90278,79158,55671,7501,9737,3970,4697,816,32
2026-01-30,xsgl,440659,83493,81181,4571,20009,60414,70564,42596,98352,93981,79345,8834,788,780,9602,8036,230,23
2026-02-06,xsgl,170260,73800,33157,76562,40611,92320,30743,6632,19186,12017,66752,86307,2501,195,7430,1265,782,74
2026-02-13,xsgl,978482,85520,64793,53473,47554,48037,61304,37093,85496,63724,70378,91092,2749,5237,1629,3616,305,66
2026-02-20,xsgl,532343,70731,24390,47710,15687,90920,44425,29382,48350,79746,75055,29960,4915,515,5541,9919,833,48
