date,province,special,prize1,prize2,prize3_1,prize3_2,prize4_1,prize4_2,prize4_3,prize4_4,prize4_5,prize4_6,prize4_7,prize5,prize6_1,prize6_2,prize6_3,prize7,prize8
2025-09-20,xshg,549938,39723,14951,74730,5102,17856,37002,1297,80536,80223,45576,30739,1003,1132,2716,3651,670,46
2025-09-27,xshg,899113,82984,46181,40564,79047,66052,80338,22373,96006,99858,12111,13286,9817,7818,7389,3008,12,65
2025-10-04,xshg,803168,57368,97788,53157,15128,25446,33370,3470,44814,59635,66368,57108,8558,1766,3752,2158,664,16
2025-10-11,xshg,595981,84773,48387,72372,32910,24847,6898,20751,1728,42145,78320,67381,4201,5867,8476,5981,459,70
2025-10-18,xshg,82000,69495,3592,36955,10569,6439,61854,51578,65371,89214,18946,56165,3127,3674,5474,3139,270,57
2025-10-25,xshg,408671,38098,6799,59398,61058,82578,97550,61046,61104,13370,16494,29296,5548,8746,919,609,91,25
2025-11-01,xshg,495851,94050,29820,40034,53651,29051,79062,1251,67754,53318,38141,17518,3302,9090,9864,8872,1,22
2025-11-08,xshg,656340,62005,94773,77094,90943,42100,69124,89196,28444,78451,75753,1753,2373,1314,8106,7426,237,2
2025-11-15,xshg,530705,74070,60162,9603,49436,97443,63752,52527,19547,70264,62968,91888,8976,1390,2598,9624,208,45
2025-11-22,xshg,387298,14297,33205,34570,69582,36969,58462,55508,18431,25806,65691,25632,5536,1568,7458,363,961,87
2025-11-29,xshg,922599,47458,87685,52321,35182,59325,64255,7649,78529,35614,3278,62851,3116,7211,2243,383,429,26
2025-12-06,xshg,373212,88575,37176,71858,43152,63535,53955,31087,97651,74166,96837,57015,5218,7121,6432,6120,727,23
2025-12-13,xshg,766129,3617,74292,49491,41572,34249,94151,50882,77985,57595,61432,52621,8420,2968,9290,9126,520,49
2025-12-20,xshg,869516,881,48191,59197,68716,10235,44619,60677,53781,12972,99420,9647,5067,1514,3619,4861,39,59
2025-12-27,xshg,651783,77729,52093,31302,6178,31885,44700,47218,68851,39736,90884,84459,5590,181,5909,2569,473,33
2026-01-03,xshg,934947,44201,28408,97517,72851,3487,7096,74604,67855,95917,87196,27661,302,6060,257,7009,594,14
2026-01-10,xshg,295158,84206,60144,87423,34231,94060,15368,32299,71680,94859,43972,77902,1476,3202,5015,1576,371,10
2026-01-17,xshg,668477,98340,53761,95097,43840,12508,71882,36405,8790,73301,19983,64534,190,778,6205,2467,525,28
2026-01-24,xshg,724047,31065,55045,12367,82358,39345,49428,83010,4246,44028,79716,57051,9643,6119,2795,5020,171,16
2026-01-31,xshg,749006,12643,84101,49092,68105,65327,91736,11575,42798,91539,75429,27136,370,9023,1601,7410,564,29
2026-02-07,xshg,948791,76443,74490,67538,48179,53386,2262,75499,21354,59248,45587,73404,1969,9005,2453,848,141,68
2026-02-14,xshg,365053,17347,47579,44694,21736,35297,38525,81579,77426,10842,25564,75561,2924,8055,3158,1504,464,89
2026-02-21,xshg,192482,22320,15722,10335,53906,43336,53606,91753,45369,76146,83337,67959,3724,2544,9499,988,138,17
2026-02-28,xshg,850371,47323,87415,1049,30680,96533,45074,41081,65803,13848,38168,53068,6348,5607,4750,723,208,91
2026-03-07,xshg,385752,15412,48644,63548,60833,19355,22340,58164,79586,15651,65586,87923,1074,3555,9662,4704,809,83
2026-03-14,xshg,137568,18027,83033,78157,37232,53476,27334,71667,68938,13030,25644,5762,6870,3523,8700,5840,926,6
2026-03-21,xshg,706384,15387,80942,13064,15046,37906,12394,73443,8285,55772,12676,90039,4397,1868,9214,3304,1,46
2026-03-28,xshg,514346,12029,6069,10241,26616,30061,87439,55103,93812,44822,22484,36545,5639,8334,1160,8380,688,55
2026-04-04,xshg,837532,47212,13948,79851,84257,79044,41844,10618,18023,38594,11376,60968,5900,141,1680,9882,331,44
2026-04-11,xshg,104888,95985,98847,23217,30055,99626,36758,94469,63000,17206,46346,94822,354,5605,6638,8414,932,85
2026-04-18,xshg,453092,15886,47477,55442,22912,14819,77793,45101,44424,3705,22874,61363,1579,6820,1740,4300,90,85
2026-04-25,xshg,905491,25347,65776,59858,40346,44264,7023,18011,40086,18137,9157,47313,2430,4673,5304,3371,993,39
2026-05-02,xshg,859805,37163,48110,42118,33911,78340,35351,43944,95674,32731,68314,30662,9529,3608,4165,4080,232,99
2026-05-09,xshg,703896,76403,85887,74216,45289,43927,30194,45165,23281,89836,95829,36048,4683,8204,5133,9572,217,47
2026-05-16,xshg,639537,46885,15086,46636,83526,2725,24114,27058,53087,23269,49456,15182,410,5475,8332,5273,881,22
2026-05-23,xshg,789337,96388,52798,99433,30300,83285,58784,19474,64737,6078,75204,52298,5816,7677,3304,2542,377,39
2026-05-30,xshg,323587,37568,60395,86074,89926,87908,3737,67226,87863,58254,74463,68485,2332,2361,1186,2047,844,51
2026-06-06,xshg,559076,93898,47794,12154,20438,35785,48314,10608,90557,54427,10504,25838,1016,6206,4735,6893,132,42
2026-06-13,xshg,715384,92622,39712,79541,35356,99954,5826,795,57565,48362,41802,19136,3554,5513,3290,5383,997,93
2026-06-20,xshg,168784,37005,82632,52175,5968,86117,24456,57532,61601,35672,50868,91344,8236,6876,7732,845,771,26
2026-06-27,xshg,778736,15307,85191,33280,86269,7193,95068,67969,80665,50953,88658,84763,6058,3559,5701,9266,988,76
2026-07-04,xshg,726757,75015,1641,57006,75592,67077,8305,1282,2331,82221,63446,38026,1502,6236,4951,8001,716,4
2026-07-11,xshg,883669,31090,31751,81554,12774,89656,91993,15853,84749,44227,79836,46711,1022,6295,1631,4903,821,45
