date,special,prize1,prize2,prize3_1,prize3_2,prize4_1,prize4_2,prize4_3,prize4_4,prize4_5,prize4_6,prize4_7,prize5,prize6_1,prize6_2,prize6_3,prize7,prize8
2025-09-21,25,96,6,86,78,41,20,55,93,6,75,44,28,84,75,42,20,44
2025-09-28,38,8,88,12,98,43,56,75,33,38,41,93,34,13,14,94,6,58
2025-10-05,64,28,48,10,68,46,87,42,58,79,10,99,68,91,24,66,73,18
2025-10-12,80,77,34,73,47,38,72,9,85,59,35,69,97,18,86,97,14,46
2025-10-19,50,96,29,11,46,25,55,36,40,42,74,29,54,84,44,52,29,87
2025-10-26,89,90,53,11,96,21,85,60,99,54,11,66,92,38,3,44,27,96
2025-11-02,89,26,59,67,50,17,26,9,61,5,24,5,12,55,18,99,51,51
2025-11-09,80,40,83,16,43,14,67,18,15,49,41,88,41,79,15,75,49,43
2025-11-16,44,69,28,76,11,89,79,26,31,94,27,71,4,68,22,0,0,27
2025-11-23,6,13,62,3,97,54,26,71,19,59,68,57,39,79,71,27,22,26
2025-11-30,11,96,83,50,88,96,5,47,66,24,4,44,46,77,21,7,53,67
2025-12-07,25,66,38,78,0,84,50,4,44,31,93,77,3,38,84,30,72,76
2025-12-14,47,66,29,76,73,46,42,42,43,71,69,14,64,94,49,64,61,89
2025-12-21,69,96,16,91,88,57,9,12,13,11,17,84,40,93,51,86,33,41
2025-12-28,13,79,25,54,5,34,74,94,77,46,89,85,38,88,27,92,89,2
2026-01-04,33,46,22,34,43,51,5,81,12,85,57,98,71,89,79,47,35,25
2026-01-11,25,19,27,29,4,95,96,24,24,56,2,14,56,88,71,91,1,14
2026-01-18,31,37,86,53,0,59,49,13,98,37,26,23,35,70,24,14,92,74
2026-01-25,55,50,21,7,2,57,26,7,11,3,45,67,81,33,49,46,45,23
2026-02-01,37,82,91,58,73,73,30,57,88,47,39,52,32,75,47,89,5,85
2026-02-08,89,2,64,27,8,18,19,52,74,97,55,8,96,22,22,69,59,37
2026-02-15,92,30,36,11,55,47,65,82,96,53,69,12,53,6,89,71,98,54
2026-02-22,69,74,27,77,40,33,45,20,46,12,61,85,2,46,2,6,25,79
2026-03-01,54,89,12,43,62,52,98,25,0,71,89,22,71,20,15,76,28,11
2026-03-08,15,9,15,1,63,59,66,6,73,18,44,27,91,12,71,18,70,98
2026-03-15,35,74,53,56,50,37,76,7,58,15,12,57,92,5,78,57,79,49
2026-03-22,88,53,60,94,6,48,99,53,72,18,52,86,50,9,72,94,99,3
2026-03-29,11,78,53,30,92,43,80,90,6,74,96,75,10,44,58,56,28,91
2026-04-05,13,83,32,15,35,37,21,77,18,70,20,63,80,39,66,22,64,15
2026-04-12,66,95,43,32,93,75,3,44,95,7,58,69,4,75,77,18,68,46
2026-04-19,27,47,88,1,19,79,35,17,69,95,58,12,21,11,61,55,84,22
2026-04-26,79,62,23,2,42,98,48,12,0,7,19,0,37,46,89,85,99,90
2026-05-03,63,99,44,3,15,44,12,23,3,32,25,64,24,8,75,58,17,82
2026-05-10,19,23,78,98,24,14,67,12,87,68,97,40,8,64,51,12,68,82
2026-05-17,36,16,67,12,49,9,45,82,30,13,84,11,90,85,56,10,64,49
2026-05-24,66,10,74,85,38,64,47,12,7,59,37,93,75,84,1,75,60,77
2026-05-31,87,59,81,3,84,68,92,90,5,48,99,26,70,17,82,69,11,14
2026-06-07,25,33,28,66,13,74,23,24,26,49,47,61,8,69,86,77,75,86
2026-06-14,6,96,66,86,15,56,58,59,75,13,27,50,35,41,27,4,43,23
2026-06-21,13,77,72,87,90,35,88,28,47,97,96,49,49,31,64,45,2,10
2026-06-28,52,33,24,61,31,98,96,37,95,67,99,90,70,43,28,96,50,50
2026-07-05,80,37,87,78,96,43,68,71,75,36,42,62,93,65,85,28,26,57
2026-07-12,90,17,78,38,48,16,27,61,76,91,93,16,46,35,96,44,55,99
