date,province,special,prize1,prize2,prize3_1,prize3_2,prize4_1,prize4_2,prize4_3,prize4_4,prize4_5,prize4_6,prize4_7,prize5,prize6_1,prize6_2,prize6_3,prize7,prize8
2025-09-21,xskg,228125,38296,7006,68086,3778,30041,93420,5555,87493,21106,98275,50644,2828,7384,8875,7742,620,44
2025-09-28,xskg,282238,17408,94988,56612,86298,85643,99356,74875,97633,49438,25441,96793,134,8413,5314,8294,206,58
2025-10-05,xskg,50364,63328,35248,45310,32068,27946,58187,51642,70858,18479,47610,61399,8868,3491,8924,7866,473,18
2025-10-12,xskg,379880,96877,41934,13973,16947,69038,19472,56809,23585,42959,49735,95369,3797,1518,7786,3597,814,46
2025-10-19,xskg,375650,26696,15029,29711,67946,81125,67855,74836,26040,97842,39174,82429,6254,6384,944,1152,529,87
2025-10-26,xskg,536989,66790,51253,4911,6696,88221,47085,1060,21299,38054,43511,94566,3792,1138,4403,2944,827,96
2025-11-02,xskg,145989,89226,24059,19367,87850,38417,97126,6209,7161,10905,36124,61405,7112,3255,6918,9899,851,51
2025-11-09,xskg,507380,42540,38483,12916,89343,11514,60467,29018,46915,46549,84241,60488,6441,1879,5115,4575,49,43
2025-11-16,xskg,709244,54269,5828,85476,78911,3089,21479,59926,32431,91694,54527,15471,4404,9668,822,800,400,27
2025-11-23,xskg,662106,83313,47962,74203,70397,93254,3026,55271,41119,58359,10568,56857,6939,8879,7071,927,822,26
2025-11-30,xskg,2911,21496,82683,39950,24788,96596,70305,39947,58566,34124,80104,73944,3946,7277,1521,407,653,67
2025-12-07,xskg,485425,32166,27638,18978,7900,97884,57550,73704,38744,71831,91393,5177,4403,7438,2084,730,572,76
2025-12-14,xskg,831747,34966,20829,82876,41073,23046,57642,75842,28843,13571,17969,8414,6364,2094,9849,564,761,89
2025-12-21,xskg,717469,14396,46816,97291,50788,72857,14809,34312,24513,47011,71617,93084,3140,5593,4551,9386,33,41
2025-12-28,xskg,760513,9779,45325,45954,29805,38834,59574,90294,877,24846,11989,45385,3538,2488,9927,1892,289,2
2026-01-04,xskg,600433,86746,33222,92934,24143,72151,91105,19481,41212,14085,46257,30098,6771,4389,479,8847,935,25
2026-01-11,xskg,820025,73519,7427,99829,9804,19895,96996,68624,98024,15056,19502,53014,3556,3888,3471,2091,1,14
2026-01-18,xskg,442231,18137,62086,22053,50200,5559,33849,1913,63698,61237,81026,60323,1735,1570,624,2314,692,74
2026-01-25,xskg,641355,83950,96021,56207,7402,75657,63226,71207,72411,74503,69845,28967,3681,1733,249,5246,745,23
2026-02-01,xskg,61337,80282,34691,99258,75573,23873,51530,61857,80688,80547,96739,48152,9132,675,3047,4589,605,85
2026-02-08,xskg,90189,99702,89064,5827,80708,95718,62119,19952,99174,3797,92955,87108,5896,5122,8522,6669,459,37
2026-02-15,xskg,914792,93530,31236,99511,3655,77447,10265,29382,11796,61153,82869,86812,7653,9606,5989,4371,398,54
2026-02-22,xskg,690669,94874,51627,92777,16240,66133,65045,14720,27946,76912,35261,83885,7402,6246,2502,9206,925,79
2026-03-01,xskg,124254,61589,82312,9543,45962,4852,96998,96625,59600,76271,79389,95622,1371,820,7215,6476,728,11
2026-03-08,xskg,322515,11109,42815,82001,73163,659,90566,19606,71673,24818,71344,97627,8991,812,3971,5818,470,98
2026-03-15,xskg,861235,78674,60553,95656,22250,98637,13076,71607,26658,36315,11312,41257,7292,6105,478,3657,979,49
2026-03-22,xskg,370988,7753,38260,81094,27006,56048,74999,80753,55572,5618,62952,55086,6250,3609,1772,1794,899,3
2026-03-29,xskg,85111,4778,61553,46130,33592,48943,81180,72190,30606,65874,35096,53475,7510,8944,5658,6256,828,91
2026-04-05,xskg,627013,20483,14932,73715,47935,74537,84021,26577,13718,15070,91520,82963,5280,5839,1366,9022,64,15
2026-04-12,xskg,487766,55795,69043,2532,50793,9575,55403,99744,16195,91407,60558,95269,1704,1575,6777,3518,668,46
2026-04-19,xskg,220127,65347,36588,15001,84619,78479,59935,78817,78369,98695,57658,49712,3821,5011,861,5855,984,22
2026-04-26,xskg,360679,73462,69323,88802,19842,32298,97148,85112,26700,28907,88919,67300,5237,7346,3489,4885,199,90
2026-05-03,xskg,70963,1799,39844,44903,22815,46944,69612,21823,91303,48432,75625,5564,7824,8,8175,4458,317,82
