date,special,prize1,prize2,prize3_1,prize3_2,prize4_1,prize4_2,prize4_3,prize4_4,prize4_5,prize4_6,prize4_7,prize5,prize6_1,prize6_2,prize6_3,prize7,prize8
2025-09-17,61,57,34,29,1,99,91,92,17,43,42,83,39,50,74,88,39,88
2025-09-21,35,40,36,56,3,32,66,91,85,52,44,16,40,96,88,7,81,59
2025-09-24,14,78,11,61,65,60,77,82,37,6,57,34,64,60,96,21,39,59
2025-09-28,41,71,25,90,52,2,37,19,99,64,59,16,45,0,49,16,12,60
2025-10-01,15,50,50,56,11,18,29,63,51,18,1,19,47,81,9,47,32,40
2025-10-05,1,67,45,31,6,4,63,17,6,86,67,61,70,44,69,31,4,15
2025-10-08,46,43,93,36,89,85,50,51,98,85,11,34,79,39,31,51,60,15
2025-10-12,10,44,3,10,82,96,78,69,85,59,18,32,14,22,99,37,84,11
2025-10-15,58,71,64,96,36,18,84,29,66,31,24,39,7,3,83,73,46,17
2025-10-19,41,6,56,58,56,8,71,64,3,72,77,93,32,55,53,82,66,70
2025-10-22,3,97,64,96,37,91,1,79,86,89,45,38,17,8,33,60,33,28
2025-10-26,11,2,70,7,12,99,96,77,26,39,31,46,11,21,55,91,83,97
2025-10-29,32,61,43,61,16,18,99,43,63,89,68,56,50,99,13,3,45,2
2025-11-02,93,34,2,69,39,59,65,70,86,2,67,72,79,34,67,91,6,37
2025-11-05,51,49,97,42,34,49,8,31,55,28,28,3,0,64,99,79,18,96
2025-11-09,62,15,41,38,21,79,76,42,57,18,13,57,92,88,17,36,69,90
2025-11-12,28,81,92,5,23,69,68,52,86,58,39,2,68,20,30,40,3,99
2025-11-16,43,67,5,78,11,44,70,49,66,69,89,72,64,64,1,78,55,33
2025-11-19,8,14,67,75,30,87,29,5,30,56,57,33,26,42,75,7,17,45
2025-11-23,11,44,44,4,50,53,66,56,20,41,3,26,54,68,7,82,15,13
2025-11-26,77,30,86,60,15,97,40,74,53,95,59,17,11,92,18,18,53,14
2025-11-30,90,54,73,3,51,6,79,40,53,71,60,42,75,55,10,40,87,50
2025-12-03,51,58,3,71,42,77,66,32,76,55,46,48,81,9,61,17,61,70
2025-12-07,46,39,88,96,34,92,77,43,44,69,91,58,41,81,35,70,58,67
2025-12-10,31,8,37,33,85,7,70,68,7,60,25,59,88,48,86,69,27,32
2025-12-14,5,67,55,71,5,78,4,46,21,64,15,46,89,75,14,52,24,35
2025-12-17,32,23,34,39,37,97,26,24,25,86,80,86,27,58,37,2,56,59
2025-12-21,92,83,32,1,76,77,37,15,11,67,89,63,94,84,54,21,6,55
2025-12-24,40,36,5,51,51,35,26,98,36,54,90,43,94,46,69,59,32,35
2025-12-28,59,57,36,20,52,20,8,16,70,47,80,83,67,36,71,82,80,46
2025-12-31,41,24,39,7,21,52,34,93,12,39,86,87,9,9,32,42,18,33
2026-01-04,67,48,72,21,45,4,70,53,93,89,81,78,84,98,88,57,42,27
2026-01-07,80,4,9,43,29,96,51,33,39,52,41,35,22,40,37,5,61,76
2026-01-11,46,56,41,17,83,61,12,85,96,92,96,1,51,99,75,11,93,37
2026-01-14,50,69,68,79,1,66,9,7,11,49,2,91,19,74,98,54,68,66
2026-01-18,36,65,13,86,35,45,22,32,11,34,44,82,58,58,32,64,92,27
2026-01-21,51,40,76,60,39,64,5,86,7,58,39,49,43,55,4,31,65,15
2026-01-25,99,88,87,37,11,34,46,42,67,67,18,42,82,16,57,52,61,80
