date,province,special,prize1,prize2,prize3_1,prize3_2,prize4_1,prize4_2,prize4_3,prize4_4,prize4_5,prize4_6,prize4_7,prize5,prize6_1,prize6_2,prize6_3,prize7,prize8
2025-09-17,xskh,908261,90557,58434,87129,98401,71599,61991,78492,89217,76443,59042,56083,139,5550,9274,3688,439,88
2025-09-21,xskh,185435,34240,66736,49456,34503,48432,92366,81391,81185,63052,33544,76416,6440,4096,4788,3507,881,59
2025-09-24,xskh,861914,32578,61911,88161,52565,10160,47977,62282,82137,18706,22957,51734,6664,2660,2696,8221,739,59
2025-09-28,xskh,134441,83371,28825,55190,77052,16602,21137,98219,49099,97464,76459,49716,5045,8800,1649,4816,612,60
2025-10-01,xskh,960515,12850,85450,25756,42811,85118,24429,63863,69151,71718,78401,6119,47,7581,5609,4447,432,40
2025-10-05,xskh,13901,38767,8745,34731,2906,43304,32563,85417,34506,30986,17267,64761,7070,5244,2369,6031,4,15
2025-10-08,xskh,77346,83543,44193,63836,59489,50785,31650,91351,80998,39785,91011,52334,7479,3039,3631,8651,960,15
2025-10-12,xskh,94610,92044,403,67510,71482,3696,99478,27769,51685,68459,98818,97032,4714,4722,799,9437,684,11
2025-10-15,xskh,951958,87771,74264,9896,84936,16318,20584,66729,66366,99731,17424,22239,5607,5003,3883,5273,146,17
2025-10-19,xskh,351241,18606,14956,16858,53656,64508,58771,11664,66003,36072,96177,81593,7132,2955,353,2982,266,70
2025-10-22,xskh,91803,92797,62264,48996,90337,66191,87501,50879,59186,18589,42145,13138,5617,4808,2833,1260,133,28
2025-10-26,xskh,797511,60802,1970,42307,43512,70199,76296,24777,83326,81939,75931,76546,2711,9421,2755,891,383,97
2025-10-29,xskh,69132,25461,5343,46861,98716,26718,58199,42243,99963,85989,35968,26356,3750,199,9813,3103,245,2
2025-11-02,xskh,471493,18234,36902,92569,33339,59159,31465,44770,25686,44102,63367,47672,7479,1234,1967,2391,306,37
2025-11-05,xskh,819251,58849,15397,89642,65634,1849,62408,15231,44255,5828,80328,54103,1600,5664,799,4479,718,96
2025-11-09,xskh,405762,90315,33441,46338,52021,82879,75076,14242,59557,5318,78013,5057,1392,9788,6817,3536,869,90
2025-11-12,xskh,525928,8581,86092,56105,92723,42269,31668,49852,45786,26458,38739,90102,3768,3720,7830,4240,303,99
2025-11-16,xskh,657743,88967,64505,88178,87811,17944,3970,23949,39166,36069,96389,69672,564,6264,3701,3378,655,33
2025-11-19,xskh,283708,67214,35767,10475,51930,73087,96629,32605,97530,29756,9657,30333,7026,342,7875,3707,117,45
2025-11-23,xskh,384211,78244,94144,1904,85150,21453,13066,5456,17320,98041,78903,43526,3054,5768,9507,282,115,13
2025-11-26,xskh,281977,5830,67886,48060,12915,44197,90840,63074,68953,21795,92659,99317,4411,4192,1618,4918,553,14
2025-11-30,xskh,111890,83054,42773,25903,4051,28606,54979,97440,96453,34971,21360,57742,7875,7055,1710,4640,687,50
2025-12-03,xskh,259351,61358,76803,85371,80242,53677,73766,98832,49176,99955,62246,92448,2481,809,1761,1117,161,70
2025-12-07,xskh,710146,2739,83588,78796,57634,50492,87777,40143,15144,18669,78491,11858,2541,281,8035,8570,958,67
2025-12-10,xskh,542231,78008,56237,50033,54385,94107,46570,50868,73507,15360,73025,19559,6888,4448,3686,9169,727,32
2025-12-14,xskh,918405,41467,13455,48771,90305,15278,41804,23946,95321,95464,53315,24046,3689,8275,9814,7952,924,35
2025-12-17,xskh,397432,37823,31234,20839,94537,27797,82126,85824,53525,70486,23580,95786,4127,8558,737,1602,656,59
2025-12-21,xskh,195492,30283,3932,41801,58676,28777,37737,12315,18111,81567,64289,21663,2794,7784,7454,6921,106,55
2025-12-24,xskh,242340,18236,86205,54151,4951,70035,40526,8598,79536,40954,78990,87543,7694,5146,9169,2859,632,35
2025-12-28,xskh,109059,20657,2336,70820,65052,30620,57108,10116,22870,60547,88580,52183,9167,9136,1571,9282,280,46
2025-12-31,xskh,85141,77824,88639,21007,54221,7252,69034,71393,78812,68039,28186,85187,9,2609,5732,2842,918,33
2026-01-04,xskh,631267,36948,28172,58521,79545,73304,80770,64453,62693,18789,68081,54978,2984,7098,1188,9957,942,27
2026-01-07,xskh,319180,75304,48909,60843,65029,82796,88451,65833,77339,10252,8041,5535,2222,440,9937,7105,561,76
2026-01-11,xskh,935846,15456,27441,64417,92083,5661,812,87685,24796,88592,38096,60001,8551,9299,875,8511,993,37
2026-01-14,xskh,507450,7369,48368,26379,13701,81666,12209,10607,40411,91149,17102,53891,119,9774,2198,454,768,66
2026-01-18,xskh,418236,66265,28613,98886,32735,73945,92722,54232,21111,47034,34644,78382,7258,3358,1232,7064,292,27
2026-01-21,xskh,765951,6740,92176,60160,80039,4364,43905,24086,4407,68858,82339,91549,4443,855,8604,6631,765,15
2026-01-25,xskh,557999,66388,8887,76837,17211,19234,76046,28542,99867,89867,54018,50142,2582,4016,1057,4652,361,80
2026-01-28,xskh,132521,29814,66454,62805,55957,97260,3023,28727,39433,43609,88180,94386,8344,5770,2444,2906,444,75
2026-02-01,xskh,921053,51454,94857,42368,5222,42731,76196,26169,78241,21396,11397,97622,4667,8218,9497,9922,596,67
2026-02-04,xskh,362103,27525,43483,75369,27263,82493,73299,37895,29050,45347,49945,5490,2857,9205,1526,6039,424,20
2026-02-08,xskh,691162,21670,42055,98481,67162,30006,41981,82195,91312,14825,92599,24464,715,9661,5379,2301,792,81
2026-02-11,xskh,598702,2802,80374,13309,14882,36769,41606,15563,8077,25619,3385,13700,9724,5271,2146,4545,582,57
2026-02-15,xskh,904254,91051,27874,34819,64813,11536,5436,92106,30162,27432,13629,20425,6106,3643,7572,8919,82,20
2026-02-18,xskh,843926,31276,20841,52557,32419,6072,27667,57976,74214,44490,63090,99528,2774,9542,2991,3754,698,80
2026-02-22,xskh,575533,38222,42532,93977,62834,4904,16638,5308,35548,21076,60165,20699,1866,3538,6954,770,701,85
2026-02-25,xskh,551175,77855,35117,22910,55986,36806,5260,20290,86472,34513,87638,87729,2589,5339,3399,426,58,89
2026-03-01,xskh,131340,18119,16102,63085,92351,75655,74979,70439,49138,5985,56847,12027,7615,150,2944,4031,402,95
2026-03-04,xskh,971174,78634,98458,36152,57187,75104,27882,46843,23845,72029,19737,70782,2074,2958,2372,5786,449,88
2026-03-08,xskh,658034,45275,73727,88464,1521,30665,95635,88179,13762,4831,14586,70579,4846,5341,4072,606,922,65
2026-03-11,xskh,866862,87359,38628,17502,64111,14548,8365,43457,2801,69899,81290,99816,781,6648,9722,4424,377,87
2026-03-15,xskh,518891,84059,91486,60620,19038,4709,45425,6204,1306,3787,16667,96929,5912,9212,9798,4433,795,50
2026-03-18,xskh,345636,13471,69711,31685,73035,18563,81343,68056,10085,50674,92505,72513,3258,6207,1854,9388,966,15
2026-03-22,xskh,648581,27004,1647,61561,75310,43181,24576,37385,99808,90067,72708,34931,8074,9944,6291,6820,442,6
2026-03-25,xskh,37532,43284,44196,90133,31585,69759,79881,11279,55891,37546,81279,66265,196,308,3362,4966,382,9
2026-03-29,xskh,589049,14275,60044,36543,14112,39480,86251,87076,10908,79047,83601,72446,9406,9580,1046,6087,393,30
2026-04-01,xskh,339568,27697,52567,11864,79213,12713,90705,86627,93595,70912,19100,62731,207,3061,1132,1822,969,97
2026-04-05,xskh,106834,47288,84197,73839,34242,10028,57691,31553,82736,79660,77093,71074,1146,3501,8515,3974,75,22
2026-04-08,xskh,732501,392,14837,15567,85488,72175,23412,90076,15311,53934,89420,68512,2307,3016,1887,1983,43,7
2026-04-12,xskh,243524,70476,99482,76867,76983,19849,1141,5077,86647,30039,85452,68814,9817,6469,928,9060,467,24
2026-04-15,xskh,665456,22308,67088,2256,51834,10783,26573,55511,95617,94206,29692,46252,1402,3849,7188,8671,49,80
2026-04-19,xskh,459645,49854,9173,45634,7053,53704,81665,76044,66774,63239,45270,71400,7075,548,168,1089,276,3
2026-04-22,xskh,573973,755,30184,38315,48976,20238,30410,81930,75148,25799,2603,49218,9738,3446,5873,8720,272,35
2026-04-26,xskh,676666,33562,10575,15623,36831,68028,86231,96026,45819,67732,16683,99555,1871,2399,6445,6230,682,47
2026-04-29,xskh,933564,54085,67106,2538,49793,83357,18119,58185,53830,66919,72846,51862,698,6302,5348,67,139,74
