date,special,prize1,prize2,prize3_1,prize3_2,prize4_1,prize4_2,prize4_3,prize4_4,prize4_5,prize4_6,prize4_7,prize5,prize6_1,prize6_2,prize6_3,prize7,prize8
2025-09-21,68,24,51,88,67,75,46,4,20,28,70,39,47,29,74,78,24,61
2025-09-28,81,2,61,77,54,34,49,50,14,95,77,27,69,68,2,79,46,1
2025-10-05,56,16,60,78,80,18,90,96,85,54,96,65,15,55,39,94,80,41
2025-10-12,58,50,13,68,62,15,7,59,11,6,15,9,62,21,7,47,28,71
2025-10-19,40,37,68,95,15,36,77,29,5,34,59,23,51,6,51,34,29,68
2025-10-26,28,16,94,55,93,86,56,49,49,36,33,96,33,96,46,42,13,33
2025-11-02,65,84,53,49,27,46,92,90,45,0,32,7,85,25,8,57,97,53
2025-11-09,10,21,47,52,78,63,12,52,91,19,43,22,98,13,97,83,25,33
2025-11-16,50,82,15,49,60,42,86,93,69,48,61,39,20,66,8,2,87,58
2025-11-23,44,27,34,27,4,26,97,10,3,49,76,95,6,95,13,97,40,4
2025-11-30,88,31,29,89,60,60,85,0,0,84,74,15,76,91,77,94,44,14
2025-12-07,76,11,42,62,14,23,70,70,1,57,82,29,80,96,94,77,85,6
2025-12-14,3,11,22,47,83,65,55,48,74,57,47,43,49,9,26,68,26,87
2025-12-21,4,5,67,11,82,54,29,47,63,41,7,6,23,63,41,61,44,9
2025-12-28,96,67,98,8,94,63,33,7,39,98,59,98,64,33,44,19,67,71
2026-01-04,4,65,34,96,17,72,96,52,61,54,83,9,66,20,86,16,51,78
2026-01-11,63,42,47,90,64,44,60,89,80,0,75,40,16,50,39,50,74,23
2026-01-18,3,11,1,38,1,3,74,17,98,72,70,33,16,79,6,84,74,3
2026-01-25,77,82,90,69,86,85,64,35,19,29,2,89,20,83,79,10,29,73
2026-02-01,78,60,53,44,99,62,91,90,97,90,87,32,6,79,8,4,62,7
2026-02-08,88,89,9,65,9,37,10,21,73,72,9,36,90,59,77,67,87,94
2026-02-15,24,30,90,4,10,64,72,53,71,97,78,33,46,41,21,45,75,26
2026-02-22,99,27,36,31,42,18,5,8,22,80,65,89,58,5,80,76,96,38
2026-03-01,19,87,91,65,88,9,14,30,47,18,71,67,75,77,3,6,78,0
2026-03-08,33,78,74,72,2,30,45,65,43,55,30,30,9,15,65,70,53,98
2026-03-15,45,24,46,73,4,71,76,58,45,17,56,40,27,47,71,50,91,1
2026-03-22,40,67,85,55,55,59,61,8,89,87,88,73,24,29,55,77,94,80
2026-03-29,93,46,16,44,67,11,51,29,24,18,61,16,58,90,19,52,6,70
2026-04-05,67,46,95,11,25,25,47,97,12,25,51,38,27,61,70,25,33,12
2026-04-12,39,83,2,35,21,82,12,42,78,90,57,46,30,55,84,6,83,39
2026-04-19,57,80,78,45,73,95,1,81,67,84,84,25,85,40,16,59,6,92
2026-04-26,4,68,82,91,84,90,23,39,54,80,49,42,81,14,50,32,23,42
2026-05-03,48,52,42,43,72,39,71,0,95,84,85,44,95,92,78,14,65,0
2026-05-10,44,50,35,28,98,95,28,26,95,24,64,3,91,76,77,48,71,68
2026-05-17,88,94,79,15,62,65,95,29,48,57,46,75,34,9,55,32,47,48
2026-05-24,33,53,0,55,95,17,89,31,87,44,75,40,74,92,51,74,54,37
2026-05-31,19,64,97,82,65,56,89,21,45,26,98,89,52,52,41,35,18,31
2026-06-07,74,86,26,42,39,91,18,5,99,17,17,40,88,1,11,9,54,99
2026-06-14,95,37,57,93,39,62,23,41,89,17,38,36,71,85,70,61,27,52
2026-06-21,71,43,59,24,54,81,21,45,35,60,87,88,3,43,59,80,46,6
2026-06-28,32,56,29,97,98,0,0,8,15,72,31,14,6,80,98,49,93,61
2026-07-05,61,66,16,11,55,9,89,37,60,80,58,53,74,7,25,50,45,7
