date,province,special,prize1,prize2,prize3_1,prize3_2,prize4_1,prize4_2,prize4_3,prize4_4,prize4_5,prize4_6,prize4_7,prize5,prize6_1,prize6_2,prize6_3,prize7,prize8
2025-09-21,xskt,129568,3124,47651,1988,20167,90575,66946,85904,82220,24528,84870,35639,8247,5629,7074,6678,724,61
2025-09-28,xskt,221981,88702,41761,74977,76154,36834,95049,37550,46314,7895,4477,57827,3269,8368,2302,8479,346,1
2025-10-05,xskt,674256,78816,55560,69578,96480,27318,75090,19296,67985,47154,76396,37865,6315,255,6139,3494,780,41
2025-10-12,xskt,296358,71150,11913,57368,12262,62215,24907,70559,39811,44106,76715,79109,8762,7121,6307,4147,928,71
2025-10-19,xskt,784740,70637,64368,57295,71015,16236,55477,54229,62005,22334,88559,1123,5551,8006,3751,7834,429,68
2025-10-26,xskt,14828,71316,5594,86555,11393,56586,74856,37849,42349,46236,59233,16996,9333,8696,9846,4742,113,33
2025-11-02,xskt,298365,64184,42753,33049,58127,5246,43492,92990,2745,94900,79032,14307,2685,9025,3008,8957,197,53
2025-11-09,xskt,49110,91921,72147,72752,14378,42463,12612,41952,47191,94619,48143,35522,1498,6013,3397,9883,625,33
2025-11-16,xskt,824350,30082,45015,59149,13960,14442,48386,96893,55069,65548,53361,96039,8920,9266,5408,2,287,58
2025-11-23,xskt,517044,67327,25134,86627,92004,73226,32997,42210,93803,20349,48676,93895,4206,1395,8213,3397,240,4
2025-11-30,xskt,635288,57031,75029,35789,72760,66760,59985,12300,99300,56184,33374,55615,676,4691,5077,6394,444,14
2025-12-07,xskt,593376,15211,79842,16062,9514,31123,66070,54170,79201,22257,88582,45629,380,2596,7394,1677,785,6
2025-12-14,xskt,173403,70511,33822,32747,25883,39165,9755,91348,49674,21057,69847,16643,6749,609,6626,6368,426,87
2025-12-21,xskt,229204,25005,64267,16511,2282,32154,30429,25947,60163,7341,48807,19406,2623,263,3841,2461,644,9
2025-12-28,xskt,936096,7367,96798,47508,36094,83363,89733,96707,41439,83498,61159,3898,5664,4233,1144,2719,267,71
2026-01-04,xskt,840504,7665,93034,34596,83917,70272,23696,51452,18361,5454,59783,12309,2166,7020,286,8016,451,78
2026-01-11,xskt,723063,80242,70447,61390,46164,60044,18160,47789,92680,16200,68375,44740,9716,6550,1839,6750,674,23
2026-01-18,xskt,226303,95411,33601,37638,53601,7303,46374,69817,85998,28172,170,34433,8416,9879,6806,8084,274,3
2026-01-25,xskt,2377,15082,95790,47969,53086,90385,51264,96935,30919,66729,81302,63889,2920,7583,979,7210,129,73
2026-02-01,xskt,9578,77760,30053,36644,43999,77862,391,17590,93097,76390,1487,20932,1906,179,308,2704,562,7
2026-02-08,xskt,548788,38289,41909,21165,25309,43537,64410,97121,63873,20472,43009,98436,8490,9259,7977,7267,487,94
2026-02-15,xskt,325724,56330,9990,4904,58010,84864,46872,42553,68571,46897,26778,23133,5446,141,7921,2845,975,26
2026-02-22,xskt,184099,86927,37036,83931,71242,21518,2005,62008,4322,95980,25265,34089,9558,705,2280,8076,96,38
2026-03-01,xskt,453019,72887,20191,83765,54988,29209,5614,75930,46847,2718,43071,41267,6975,1677,1603,2406,978,0
2026-03-08,xskt,124833,2578,42774,15972,82602,13530,10645,70265,37143,10555,7430,69530,8709,2815,7465,6770,153,98
2026-03-15,xskt,2345,58224,12846,58073,63904,35671,32376,42958,93845,52017,63156,90040,227,2447,8671,7850,91,1
2026-03-22,xskt,784140,28567,46385,94655,89555,68959,36661,44108,97089,27187,44188,31673,6624,2729,655,177,394,80
2026-03-29,xskt,914993,76446,88216,71844,89867,14811,76651,69029,11324,83818,79261,91516,9858,3690,2919,7752,306,70
2026-04-05,xskt,3667,16646,48895,99111,55025,48925,88747,12197,64812,81825,46351,45638,7027,9361,7270,125,433,12
2026-04-12,xskt,259939,22283,78002,54335,63721,27982,16712,95942,85278,75090,84557,31846,7130,4855,5784,3606,183,39
2026-04-19,xskt,901057,96380,98178,95545,12673,16195,95701,20081,78367,71384,16484,10125,6385,3240,6516,5559,6,92
2026-04-26,xskt,683004,47568,25582,87591,1484,75390,64223,57939,54754,2780,22849,46142,9981,6214,8550,9032,23,42
2026-05-03,xskt,122248,84952,36642,90443,39872,71739,43171,60700,84895,69784,9985,62744,2895,392,9478,614,465,0
2026-05-10,xskt,432544,41050,84135,32328,81298,88695,32328,35926,82795,24224,96864,68503,5191,8876,9177,648,271,68
2026-05-17,xskt,457888,60094,94679,1415,78662,59765,13095,19829,72648,857,69746,86475,5334,6709,455,5932,547,48
2026-05-24,xskt,179833,36453,6000,82855,88995,82317,33389,27431,57887,11244,89975,76340,574,6392,1851,2174,154,37
2026-05-31,xskt,633119,57164,98397,51582,27665,58956,42689,38621,27245,23726,1698,78589,6552,8052,1641,9235,118,31
2026-06-07,xskt,327574,48086,77026,39042,98039,81391,99418,61605,39599,42817,18617,69740,1488,6501,7911,1909,954,99
2026-06-14,xskt,645395,74137,98657,14693,98939,25062,67523,46741,31089,98717,12138,49836,8171,3585,6270,4861,627,52
2026-06-21,xskt,777871,60043,36759,49624,1154,53781,79221,19245,54235,71960,25087,77088,6003,943,1959,2480,546,6
2026-06-28,xskt,738732,58856,70429,44397,48798,89500,70200,84508,15115,88472,3531,58314,3106,680,2198,1449,493,61
2026-07-05,xskt,818561,63266,27516,24711,3455,44809,62389,20237,85660,88080,41758,76453,2274,8007,4225,4950,245,7
2026-07-12,xskt,613301,68587,44666,90096,9408,21413,98780,99766,2973,32709,22164,38583,2472,1058,5641,9507,344,0
2026-07-19,xskt,359736,93485,61793,67790,16032,81110,11379,27482,670,94760,20592,9964,842,5799,1977,3820,79,6
