date,special,prize1,prize2,prize3_1,prize3_2,prize4_1,prize4_2,prize4_3,prize4_4,prize4_5,prize4_6,prize4_7,prize5,prize6_1,prize6_2,prize6_3,prize7,prize8
2025-09-19,65,72,32,50,16,51,47,82,92,33,98,60,54,64,94,24,59,15
2025-09-26,34,27,56,15,87,15,59,7,32,50,63,94,16,59,68,77,84,72
2025-10-03,36,57,64,73,65,20,74,65,76,79,54,10,26,0,15,47,50,37
2025-10-10,40,8,9,45,73,70,10,69,26,54,69,3,56,54,11,47,86,11
2025-10-17,36,56,69,87,92,82,67,20,17,67,1,64,34,17,29,18,16,54
2025-10-24,38,59,33,26,43,44,1,4,27,90,7,18,93,14,15,54,29,98
2025-10-31,8,84,19,8,39,48,0,47,71,97,43,94,60,61,63,76,93,3
2025-11-07,74,23,59,2,58,76,68,56,92,93,15,42,19,50,39,24,21,21
2025-11-14,78,94,15,41,27,10,31,16,21,78,6,39,85,78,14,45,78,9
2025-11-21,37,38,13,98,50,93,19,76,46,51,13,91,17,17,38,94,14,36
2025-11-28,39,88,22,52,61,2,67,22,32,80,48,76,12,93,4,34,74,28
2025-12-05,78,17,80,54,88,71,95,26,4,32,95,97,24,80,18,28,41,86
2025-12-12,45,4,37,23,69,33,16,97,87,64,13,26,72,10,7,40,77,22
2025-12-19,62,6,19,33,63,14,53,73,80,87,14,89,45,79,24,87,6,8
2025-12-26,28,90,37,88,82,69,92,90,22,69,16,56,45,26,33,47,12,37
2026-01-02,56,54,27,86,23,84,35,92,37,32,17,0,30,56,81,84,29,24
2026-01-09,52,33,38,84,71,18,42,75,76,78,19,3,2,25,9,99,16,97
2026-01-16,87,45,2,56,51,63,21,2,95,75,81,77,0,50,93,46,19,0
2026-01-23,50,92,85,33,44,43,30,41,19,5,39,32,49,68,57,91,11,96
2026-01-30,77,19,48,13,7,74,21,49,92,41,53,27,46,34,97,95,98,61
2026-02-06,66,53,96,10,45,59,8,52,31,59,26,44,11,64,39,46,69,19
2026-02-13,71,69,6,48,72,74,12,33,50,61,83,63,44,48,51,50,34,7
2026-02-20,98,62,68,91,79,76,63,94,30,83,54,80,50,80,32,21,19,21
2026-02-27,30,16,62,27,12,85,9,32,11,14,23,0,29,25,74,83,71,91
2026-03-06,94,1,29,37,48,76,57,44,21,72,68,28,46,40,22,78,86,63
2026-03-13,41,42,28,36,89,94,38,11,2,99,7,32,35,77,60,4,59,6
2026-03-20,12,56,45,43,18,93,41,42,92,62,26,72,30,24,39,9,34,73
2026-03-27,58,48,8,40,33,45,53,84,19,81,93,3,74,29,3,31,18,50
2026-04-03,53,15,21,37,41,68,58,63,75,65,24,29,69,95,34,73,56,4
2026-04-10,55,62,60,10,4,89,37,14,4,44,61,71,39,1,84,74,16,86
2026-04-17,93,73,19,6,64,49,33,32,55,79,7,75,92,14,14,7,34,6
2026-04-24,10,66,71,68,9,30,65,71,14,75,39,77,9,66,82,86,6,52
2026-05-01,17,91,93,20,27,6,61,52,84,25,38,29,95,91,18,7,97,23
2026-05-08,25,66,71,67,90,53,19,85,12,35,53,97,10,55,74,41,1,70
2026-05-15,40,98,50,14,4,75,13,98,35,33,14,23,85,1,44,59,16,82
2026-05-22,91,67,74,70,59,41,86,83,60,14,99,99,5,45,62,49,98,31
2026-05-29,93,45,88,37,5,74,99,10,33,6,90,89,40,86,45,91,85,90
2026-06-05,59,65,13,80,80,25,98,82,43,98,51,28,65,12,73,47,53,31
2026-06-12,88,14,51,48,96,12,70,18,73,87,55,36,87,70,54,9,90,82
2026-06-19,44,95,21,2,9,77,69,97,87,47,32,39,25,46,46,5,58,2
2026-06-26,45,79,5,29,71,41,29,69,19,57,43,67,71,8,11,28,54,54
2026-07-03,0,31,5,54,39,60,60,45,69,63,73,29,1,18,35,54,54,61
2026-07-10,99,32,93,6,43,14,18,83,59,86,43,53,37,1,85,49,30,22
2026-07-17,81,80,78,82,36,10,70,11,70,93,61,88,2,35,86,87,43,86
2026-07-24,58,5,19,35,20,4,71,9,37,25,0,18,63,28,5,90,76,27
