date,province,special,prize1,prize2,prize3_1,prize3_2,prize4_1,prize4_2,prize4_3,prize4_4,prize4_5,prize4_6,prize4_7,prize5,prize6_1,prize6_2,prize6_3,prize7,prize8
2025-09-19,xsnt,505265,83372,93832,3250,316,85851,86947,30782,12792,20933,198,58260,7754,5064,2194,3724,859,15
2025-09-26,xsnt,744234,47327,57656,48215,44987,64715,37859,11107,87332,51050,65963,17094,9816,459,968,6377,284,72
2025-10-03,xsnt,677136,84257,11064,91573,30665,33820,8074,92665,94676,40379,3154,21310,7226,9400,7315,347,350,37
2025-10-10,xsnt,851840,88408,93309,61445,50173,21970,22610,73869,83426,92254,72269,28803,4156,9254,11,347,486,11
2025-10-17,xsnt,784936,91856,55669,29887,38992,28982,17867,1820,45917,46567,21101,97564,1034,8917,6629,8918,116,54
2025-10-24,xsnt,801138,8759,47033,93126,57043,37144,14101,97804,40727,42790,9107,1918,9993,6214,7915,6454,929,98
2025-10-31,xsnt,750208,88684,9619,27908,45839,17248,4100,27047,63971,35097,80743,63394,2160,2361,5463,2276,593,3
2025-11-07,xsnt,402974,91023,99559,7002,26758,40076,35468,45356,26692,54593,9915,20642,5619,3150,1439,7424,21,21
2025-11-14,xsnt,184778,65894,31915,78441,50527,5210,50131,85116,94121,16678,84406,18239,7485,6878,5014,4045,478,9
2025-11-21,xsnt,726637,99138,52013,15498,29550,46593,73319,14476,46146,72051,46613,18991,9817,7617,9838,2094,614,36
2025-11-28,xsnt,400239,75488,51422,84552,97861,59102,2467,82622,55632,66280,16548,19176,3412,5293,9104,9034,74,28
2025-12-05,xsnt,721878,37517,87080,84054,9088,15471,16695,64126,84004,79632,21595,37897,9524,2380,718,1828,241,86
2025-12-12,xsnt,78145,68704,70037,43923,38869,23433,98416,78297,80187,50164,40813,40526,2372,2910,3007,6640,277,22
2025-12-19,xsnt,777362,71906,78719,80033,1063,72214,23653,5573,64180,90387,50614,41889,7945,3879,224,1487,706,8
2025-12-26,xsnt,520628,20890,63537,44588,80982,29169,29792,3590,31022,64169,5716,40156,4345,1926,2633,1447,312,37
2026-01-02,xsnt,353056,90154,6327,90786,73923,5884,47635,52492,18337,26632,70217,66700,7730,3856,3881,9184,429,24
2026-01-09,xsnt,456952,19433,54638,74384,63071,48618,80142,16075,51576,7878,26619,92403,7302,5725,9909,5999,316,97
2026-01-16,xsnt,544987,81445,94202,18656,60151,30663,67421,38502,50495,97475,31981,40177,700,4950,5293,6946,19,0
2026-01-23,xsnt,947850,90492,10085,95433,98744,18843,12530,43141,76119,52005,18039,91432,3349,2468,6257,9791,511,96
2026-01-30,xsnt,825377,85019,90648,27413,40207,5674,38521,80249,78492,55841,33453,62527,546,1434,2797,1195,498,61
2026-02-06,xsnt,549566,16453,42996,40710,9645,18459,55908,31052,28931,86559,91926,83344,7011,6764,8139,7446,69,19
2026-02-13,xsnt,327771,42869,55906,84748,37972,52774,74812,52933,73950,66561,39783,96263,744,8648,8851,4550,334,7
2026-02-20,xsnt,767198,64662,68368,95891,32879,8876,33363,85994,18930,14183,42954,37480,5150,5380,7332,9821,319,21
2026-02-27,xsnt,687330,64016,67062,7127,50812,90785,13609,26632,43911,59414,26723,15300,8329,6225,2674,7083,571,91
2026-03-06,xsnt,736794,69901,96029,80637,28348,51776,15157,35844,24921,91972,88268,60128,4946,3240,4722,5878,186,63
2026-03-13,xsnt,595641,92142,77928,11436,38189,3494,72238,73711,73202,61899,12407,61732,2935,9577,6960,6104,559,6
2026-03-20,xsnt,502112,89156,88745,9443,92218,85693,33841,32542,43992,54862,41926,68672,830,7624,4739,5009,834,73
2026-03-27,xsnt,489158,88948,44008,10940,80133,56845,84253,96984,80519,5481,50493,58503,4874,6029,203,7031,918,50
2026-04-03,xsnt,54553,23815,55021,2037,77341,85968,1658,10663,98675,12665,4524,16129,7769,5795,634,1773,756,4
2026-04-10,xsnt,421355,73862,3460,89310,90304,90889,8837,95414,64204,17444,4061,90971,2839,7701,3584,6874,216,86
2026-04-17,xsnt,541793,40973,12319,38006,70564,449,12733,64932,5755,64379,46007,36975,6592,5514,8314,607,34,6
2026-04-24,xsnt,132410,39466,71471,4268,31809,1330,53565,49771,53214,65575,16239,33777,2209,3466,5482,4886,606,52
2026-05-01,xsnt,249317,9391,84193,71220,2427,11306,62361,36852,96984,65125,78838,17829,9095,6891,6318,4407,697,23
2026-05-08,xsnt,283725,20966,84371,88867,53990,51153,53019,46185,94312,11135,51453,4197,3910,5355,74,1241,501,70
2026-05-15,xsnt,506540,98498,53050,44914,38104,24975,54013,31698,98035,44733,57314,7623,885,8701,8844,9059,316,82
2026-05-22,xsnt,792291,71867,66274,81070,66459,71641,47286,44583,88260,22314,14299,46999,5405,5545,6262,1349,798,31
2026-05-29,xsnt,715293,245,55488,42637,56905,974,35899,73010,32633,12706,83690,17289,1640,2386,9145,591,85,90
2026-06-05,xsnt,420259,11965,50213,37380,94080,9425,89998,42882,59843,84598,9551,59928,1465,4612,1673,5747,53,31
2026-06-12,xsnt,200088,31014,89951,60748,12396,45912,61970,70018,61473,22087,76955,25336,7687,2070,454,6709,790,82
2026-06-19,xsnt,244344,18095,76221,14902,53009,86777,98769,73797,69587,15647,93932,17739,8925,2646,3746,8205,258,2
2026-06-26,xsnt,443945,82379,24805,77929,97471,59641,85329,75869,54519,83757,57043,21967,9171,3208,2711,9528,154,54
2026-07-03,xsnt,364600,82731,49705,27854,71139,77560,9660,84145,51169,90263,91173,19529,4301,618,5735,6554,554,61
2026-07-10,xsnt,325299,88732,58893,83006,72043,88614,7418,97383,5159,33286,76643,17753,6037,7101,6885,1149,930,22
2026-07-17,xsnt,235581,36380,81978,95282,43636,35810,74870,1411,74070,79993,55261,37288,1402,2035,2386,5987,743,86
2026-07-24,xsnt,334758,56005,98019,54335,33420,50704,35971,2509,7937,98425,12200,60918,7363,8428,1105,7990,76,27
