date,special,prize1,prize2,prize3_1,prize3_2,prize4_1,prize4_2,prize4_3,prize4_4,prize4_5,prize4_6,prize4_7,prize5,prize6_1,prize6_2,prize6_3,prize7,prize8
2025-09-15,6,65,32,67,18,84,9,13,2,14,21,74,79,37,40,21,10,52
2025-09-22,79,28,76,7,8,10,37,78,32,52,35,44,13,69,92,48,30,96
2025-09-29,27,49,61,57,84,70,89,2,49,97,42,23,53,40,83,41,62,2
2025-10-06,48,24,44,79,50,48,5,96,80,71,88,54,64,1,49,46,62,16
2025-10-13,23,42,45,22,63,95,50,4,76,31,52,45,85,1,7,13,75,20
2025-10-20,35,68,82,73,0,66,58,74,96,79,57,32,10,12,11,11,24,73
2025-10-27,61,46,98,58,34,36,24,19,25,70,54,42,30,93,87,61,64,7
2025-11-03,29,7,29,34,38,18,89,19,75,55,35,21,12,97,85,44,19,36
2025-11-10,38,7,1,80,84,78,17,77,77,48,73,23,13,40,0,36,32,42
2025-11-17,90,70,11,95,18,41,59,4,56,49,78,7,17,49,55,78,85,67
2025-11-24,88,95,76,78,34,73,74,44,91,83,96,66,49,66,34,30,28,32
2025-12-01,23,21,74,55,37,27,64,65,37,69,26,31,21,80,73,97,73,91
2025-12-08,71,97,43,10,58,98,74,37,70,44,94,84,30,14,12,3,17,18
2025-12-15,11,89,49,48,24,21,67,28,73,36,49,37,95,61,22,57,88,33
2025-12-22,28,46,13,55,38,77,99,28,87,1,60,50,41,92,86,0,36,91
2025-12-29,47,38,41,92,84,97,37,63,89,69,19,37,41,40,99,0,95,95
2026-01-05,54,29,50,4,85,35,90,59,2,17,16,10,18,15,33,28,80,59
2026-01-12,82,7,52,6,26,80,51,93,95,86,7,13,99,30,78,39,58,6
2026-01-19,21,11,39,18,98,51,4,2,45,82,2,4,88,34,55,38,74,15
2026-01-26,72,69,69,20,2,12,34,97,96,85,51,36,93,19,59,38,0,68
2026-02-02,33,13,29,3,48,64,90,12,53,62,55,51,0,85,97,93,64,46
2026-02-09,54,17,10,98,62,24,90,37,43,85,23,15,81,41,56,48,15,53
2026-02-16,93,68,58,69,3,71,43,95,96,86,27,68,74,90,62,73,39,71
2026-02-23,64,20,54,89,26,91,58,44,3,69,23,91,18,42,71,73,22,63
2026-03-02,94,41,35,89,89,5,46,29,87,18,93,52,55,71,39,89,22,94
2026-03-09,58,83,9,51,65,86,23,52,19,73,48,12,5,13,81,0,2,70
2026-03-16,73,20,81,30,7,80,97,5,3,6,78,25,32,48,84,81,24,64
2026-03-23,10,35,33,92,38,44,11,12,61,13,47,99,19,89,37,81,97,5
2026-03-30,38,35,87,54,6,4,75,12,61,58,49,3,37,92,83,90,48,64
2026-04-06,38,14,78,92,2,98,89,81,94,90,88,46,35,16,53,57,8,83
2026-04-13,15,27,6,30,21,89,5,88,81,90,59,79,62,29,42,80,47,80
2026-04-20,50,15,53,81,80,25,59,19,88,85,33,44,72,70,86,42,46,42
2026-04-27,80,51,86,93,61,62,72,95,42,97,64,13,73,42,42,71,96,42
2026-05-04,39,29,16,93,86,19,49,79,59,3,41,2,24,37,49,94,13,41
2026-05-11,82,44,64,3,20,11,62,13,97,65,9,30,24,29,85,67,14,20
2026-05-18,82,18,49,88,54,26,94,31,52,75,64,5,17,23,49,24,83,76
2026-05-25,4,93,37,84,37,96,39,82,6,51,4,1,1,83,73,51,76,72
2026-06-01,69,18,71,23,99,38,83,27,23,19,84,38,28,67,22,43,75,42
2026-06-08,45,51,31,41,14,99,61,94,24,20,41,75,67,92,15,28,3,58
2026-06-15,70,13,55,81,43,89,48,28,61,11,6,62,33,55,4,31,37,92
2026-06-22,68,46,32,19,45,3,19,41,91,44,47,69,87,96,78,41,7,70
2026-06-29,4,91,31,58,50,82,6,69,32,99,34,9,77,55,26,92,45,46
2026-07-06,81,55,13,17,29,90,11,46,47,83,78,24,93,57,71,80,33,61
