date,province,special,prize1,prize2,prize3_1,prize3_2,prize4_1,prize4_2,prize4_3,prize4_4,prize4_5,prize4_6,prize4_7,prize5,prize6_1,prize6_2,prize6_3,prize7,prize8
2025-09-15,xspy,142206,90965,67432,4067,84318,97484,65509,62913,55602,95514,62921,17974,5179,4237,1040,821,210,52
2025-09-22,xspy,654379,17328,25976,97807,15408,35310,89837,49578,5132,29552,65235,83244,6813,2169,4792,1148,30,96
2025-09-29,xspy,521927,91349,12461,42157,98784,96670,25589,24802,96049,72897,97242,37023,8653,5240,4583,9241,762,2
2025-10-06,xspy,999148,47724,69444,23079,33050,47648,64105,69296,57380,79271,10388,70354,6364,2001,3849,7646,662,16
2025-10-13,xspy,201723,42642,75845,76322,74963,20895,93450,26104,82476,13731,2852,13745,1885,4601,4307,7413,475,20
2025-10-20,xspy,615735,15868,53582,8673,65700,78766,21858,44674,78396,61379,75757,13532,810,6512,6911,7111,24,73
2025-10-27,xspy,4161,15746,53198,42858,90634,26636,23724,64119,87925,71770,5054,7042,6630,8793,2787,261,564,7
2025-11-03,xspy,824429,48907,73829,71434,8038,68818,19589,82419,57075,94255,50535,90621,9012,8697,485,7244,319,36
2025-11-10,xspy,609238,88907,78601,11480,23784,10278,66117,66577,24177,4248,50973,40023,9213,5340,4700,5736,732,42
2025-11-17,xspy,686990,3570,9211,75295,69218,41341,27859,93904,31456,70549,73878,98707,8317,6149,1955,3678,685,67
2025-11-24,xspy,749988,22695,53576,8478,24134,7273,72674,2944,84991,77583,99796,7766,8449,2766,9534,6230,728,32
2025-12-01,xspy,540623,73321,38374,74755,92837,66327,24964,79265,99637,80069,96526,92031,4121,3480,4073,9797,373,91
2025-12-08,xspy,266471,47497,37543,44110,54458,32498,85974,77437,9370,70544,69094,50984,6930,3714,6112,2303,617,18
2025-12-15,xspy,817811,78889,44249,91848,48224,2621,98867,86528,8873,30436,6649,51737,4295,5261,5422,8457,188,33
2025-12-22,xspy,286728,96246,52213,18155,51038,42077,75199,41628,5387,18501,7760,70250,241,2092,886,1200,736,91
2025-12-29,xspy,73547,33738,80741,42392,50884,33997,94737,79063,43189,21069,87719,62137,1441,2640,1599,5400,95,95
2026-01-05,xspy,939254,73929,89750,86404,20085,9535,51690,19759,19702,33317,63516,90010,1318,1115,133,7928,280,59
2026-01-12,xspy,321282,71307,11152,56906,12226,90080,88651,39593,53195,86786,36607,92213,1499,5030,2678,9339,158,6
2026-01-19,xspy,988921,89911,30039,31518,93198,79551,46504,47702,91045,86782,90202,58504,5488,6734,555,4638,774,15
2026-01-26,xspy,243372,76669,98669,78820,60202,98012,87734,53197,2196,65585,17751,83436,893,1419,8359,4938,300,68
2026-02-02,xspy,591333,64513,93829,69403,67148,63264,63590,86212,49053,3162,24155,8451,7900,6685,1097,4093,764,46
2026-02-09,xspy,256954,11117,17310,42298,46162,75624,70290,72537,3343,25985,40923,56215,6681,9541,756,2048,215,53
2026-02-16,xspy,258493,49268,18358,15469,66303,39171,41643,31395,8896,73986,72827,55268,3374,5990,2962,1373,139,71
2026-02-23,xspy,764064,46820,71354,44889,96126,92991,86858,10044,81503,4669,20923,6791,5618,9042,371,3073,422,63
2026-03-02,xspy,758694,81941,16735,68889,71289,24305,83246,48729,86787,24018,20393,57052,9255,4171,3439,2689,522,94
2026-03-09,xspy,740058,55383,20909,51751,17665,11886,75523,77652,91119,97973,48,2012,7805,5813,2981,0,702,70
2026-03-16,xspy,218173,13120,74181,35330,89107,51380,38697,49205,11203,48606,30978,36025,3232,2548,1784,8781,724,64
2026-03-23,xspy,593310,24235,44333,92292,65338,79344,56511,52012,24761,80513,76747,299,3719,5289,4337,5081,997,5
2026-03-30,xspy,773338,42335,11387,90054,82506,4404,82775,87112,62261,51458,27149,32103,9337,892,6083,8090,648,64
2026-04-06,xspy,840838,38414,13378,26392,21102,69498,88089,56281,66294,22790,40588,87946,9135,4516,2153,5657,108,83
2026-04-13,xspy,524115,24327,34106,72830,41721,33389,92805,37388,49181,23090,12159,54579,962,2329,1942,8380,847,80
2026-04-20,xspy,484050,91315,56453,15181,37280,51225,83059,519,81188,25185,7833,2144,4572,2870,386,9642,946,42
2026-04-27,xspy,551680,96151,63186,90193,90461,1362,41672,98695,82542,68497,81064,23313,8073,4842,8842,2771,196,42
2026-05-04,xspy,63739,27829,66216,29793,94486,73619,43749,4479,10459,40203,77341,82202,8824,2437,49,8094,13,41
2026-05-11,xspy,218982,66644,66364,83903,44720,33311,99862,69113,72597,7065,89709,59630,6324,2029,1985,4867,414,20
2026-05-18,xspy,133482,45818,94449,7088,21154,98126,30594,43631,91452,58775,83664,98305,6917,8223,3049,1124,683,76
2026-05-25,xspy,739904,33593,27737,5484,13837,78996,2939,44582,6006,24251,8104,97801,3001,1583,4673,7851,76,72
2026-06-01,xspy,724069,37418,37771,89023,62999,838,30383,45227,67123,90719,28584,57238,5428,8467,9122,3843,975,42
2026-06-08,xspy,988145,29551,45331,71841,76614,30399,14161,42794,56124,81320,6841,14675,2667,7392,7415,9428,3,58
2026-06-15,xspy,610770,98313,94955,47281,18143,15689,12048,65228,65361,24511,39406,16362,4233,3955,4504,4931,137,92
2026-06-22,xspy,957368,75346,86332,82119,29145,31203,96119,68441,50791,82344,81347,80469,7887,2696,8078,9341,407,70
2026-06-29,xspy,325404,59091,57931,31658,29350,23682,60606,99169,53732,73599,63934,99409,6977,9055,9726,4392,245,46
2026-07-06,xspy,197681,93655,83913,9617,65729,73090,97811,95246,32447,4783,42678,41924,1993,9557,2871,6880,33,61
2026-07-13,xspy,297580,7887,74114,86127,32658,25594,97927,18572,50664,79014,9020,54556,6316,8565,7678,5128,248,42
2026-07-20,xspy,666290,94304,96341,77045,86960,16750,91387,23795,31792,16834,29221,38083,5116,2436,682,7098,504,88
