date,special,prize1,prize2,prize3_1,prize3_2,prize4_1,prize4_2,prize4_3,prize4_4,prize4_5,prize4_6,prize4_7,prize5,prize6_1,prize6_2,prize6_3,prize7,prize8
2025-09-18,14,48,75,52,91,48,76,17,59,77,61,97,47,91,95,26,9,95
2025-09-25,7,23,75,45,77,50,19,29,11,96,87,72,78,1,49,84,71,70
2025-10-02,63,97,32,98,90,87,25,3,30,2,18,47,54,35,69,54,94,27
2025-10-09,5,59,58,47,37,89,23,48,61,0,83,83,30,74,37,43,55,52
2025-10-16,33,25,66,69,17,65,9,25,44,44,46,26,18,41,50,74,94,5
2025-10-23,63,54,16,76,43,96,56,52,38,68,43,83,92,86,88,0,62,69
2025-10-30,22,67,15,94,20,30,54,31,32,35,27,42,40,48,99,18,12,96
2025-11-06,25,70,33,52,19,52,87,89,15,31,43,27,99,79,41,69,45,80
2025-11-13,5,58,19,17,38,33,54,72,44,32,31,61,96,56,62,78,96,74
2025-11-20,38,41,51,97,78,79,92,73,80,24,55,51,40,62,87,86,6,75
2025-11-27,11,17,0,34,45,96,86,94,71,49,19,6,67,49,33,16,92,38
2025-12-04,26,88,4,52,32,10,28,49,61,30,30,75,47,66,94,81,68,0
2025-12-11,16,42,45,87,25,24,10,98,49,24,78,52,64,41,66,75,68,92
2025-12-18,24,93,18,65,4,88,82,70,15,48,27,40,84,48,92,69,47,20
2025-12-25,4,88,83,22,21,78,5,11,7,18,22,9,9,50,53,10,48,37
2026-01-01,31,54,83,84,96,41,17,45,13,12,58,46,98,24,84,57,27,58
2026-01-08,84,23,76,17,50,21,9,73,84,69,91,56,79,38,25,15,3,13
2026-01-15,81,83,34,3,59,88,70,23,59,3,20,85,94,83,94,56,34,89
2026-01-22,95,26,16,82,40,96,99,23,37,56,68,2,31,66,0,78,3,54
2026-01-29,28,8,7,96,68,19,8,1,28,51,24,16,12,88,12,76,83,28
2026-02-05,74,10,86,27,17,72,12,69,67,2,82,25,80,88,69,58,40,6
2026-02-12,8,51,8,50,5,43,54,70,8,29,51,15,44,99,19,78,38,12
2026-02-19,65,49,64,64,69,84,67,59,37,34,21,47,57,43,44,24,62,19
2026-02-26,51,77,14,56,85,53,65,12,22,78,18,24,75,86,88,96,42,61
2026-03-05,8,82,38,68,97,51,99,62,14,27,42,74,43,1,51,68,15,86
2026-03-12,98,75,55,49,65,46,18,81,44,18,82,78,15,11,69,80,24,66
2026-03-19,4,50,62,26,20,98,2,36,83,15,33,98,63,74,58,1,49,17
2026-03-26,31,74,44,38,84,61,27,1,82,64,16,62,66,30,11,80,17,71
2026-04-02,98,82,68,70,71,84,77,83,63,8,20,18,37,60,12,30,64,21
2026-04-09,40,24,3,51,15,84,95,19,83,71,30,53,74,82,23,97,34,16
2026-04-16,9,65,87,74,35,57,97,3,98,77,2,91,26,32,56,89,80,30
2026-04-23,13,80,27,37,39,48,9,45,89,0,48,78,55,54,36,1,34,25
2026-04-30,53,26,90,93,98,73,97,89,25,36,54,5,72,51,72,2,36,91
2026-05-07,87,99,26,68,25,67,19,89,89,84,81,48,75,51,89,45,99,79
2026-05-14,30,54,25,65,70,14,30,76,27,13,87,81,22,59,9,44,19,72
2026-05-21,20,13,44,11,42,54,58,28,37,48,50,22,91,60,65,20,96,93
2026-05-28,15,90,52,1,11,0,47,80,41,11,75,81,77,67,33,58,78,37
2026-06-04,16,64,12,14,98,21,33,20,84,53,64,8,57,82,3,61,66,98
2026-06-11,49,40,82,56,81,54,95,1,34,55,70,99,83,60,71,64,67,66
2026-06-18,86,6,26,83,73,50,92,54,60,36,13,41,3,10,13,6,4,85
2026-06-25,32,98,1,20,58,3,85,23,84,5,8,1,17,53,78,60,16,69
2026-07-02,68,73,22,9,68,39,41,61,26,53,35,15,73,37,69,24,86,10
2026-07-09,94,70,72,80,81,39,89,19,62,53,37,20,8,10,21,47,68,41
2026-07-16,97,30,87,65,73,31,16,64,89,68,89,55,59,76,47,17,41,50
2026-07-23,12,65,65,78,16,16,45,1,9,44,48,20,41,64,23,7,63,53
