date,province,special,prize1,prize2,prize3_1,prize3_2,prize4_1,prize4_2,prize4_3,prize4_4,prize4_5,prize4_6,prize4_7,prize5,prize6_1,prize6_2,prize6_3,prize7,prize8
2025-09-18,xsqb,924214,2448,86275,44052,13191,5448,87076,52617,67759,84677,78861,57197,4047,591,2795,2226,209,95
2025-09-25,xsqb,548107,89123,95075,72645,93377,17450,38219,74329,43411,25396,83387,28972,7578,4401,549,3884,71,70
2025-10-02,xsqb,891563,92297,69232,92798,53490,86887,76225,66103,56130,33802,36218,48647,1254,7535,9569,9054,994,27
2025-10-09,xsqb,524605,87959,71158,92147,51537,57089,51523,43448,78061,26900,74483,61683,3730,2974,7837,4343,855,52
2025-10-16,xsqb,404233,72925,1666,73669,54017,50665,53909,48025,18444,8744,63346,36926,5918,2741,5850,7674,194,5
2025-10-23,xsqb,414063,61954,94416,59176,88043,60996,756,70352,74838,52068,75643,6483,4392,5686,1488,8600,162,69
2025-10-30,xsqb,680822,28667,54615,85094,2720,71830,86354,68031,35132,3135,75627,60442,4440,2148,7799,118,112,96
2025-11-06,xsqb,149225,83570,43533,42952,9519,66152,16687,3889,46715,83831,1343,5427,1699,6379,4841,9769,945,80
2025-11-13,xsqb,571105,61958,69919,30717,94838,22533,99154,69072,444,81032,86631,37961,3896,4656,9262,5978,596,74
2025-11-20,xsqb,429338,71541,83451,84597,30578,87579,49092,70573,92880,27024,94755,68151,4840,6862,287,9886,106,75
2025-11-27,xsqb,360111,73317,95400,99534,74845,23996,42886,84294,86771,17049,11519,48406,67,4949,533,1316,92,38
2025-12-04,xsqb,952626,42988,62704,50352,60532,4610,20028,72149,85461,94330,51530,98975,9547,5666,2394,8781,268,0
2025-12-11,xsqb,592916,48242,94145,48987,80925,51524,56410,1198,46349,50124,39278,6552,3764,6541,1566,7375,468,92
2025-12-18,xsqb,531824,1393,4918,98365,11904,94688,95982,46870,40815,70248,81227,11240,4284,648,6492,669,647,20
2025-12-25,xsqb,745704,49588,48283,78622,10021,21278,80005,66211,1907,20118,43022,70209,6009,2650,8353,8910,548,37
2026-01-01,xsqb,40031,52654,25683,13384,3096,5241,98017,54245,2613,5012,74858,40446,4498,24,8184,9957,627,58
