date,special,prize1,prize2,prize3_1,prize3_2,prize4_1,prize4_2,prize4_3,prize4_4,prize4_5,prize4_6,prize4_7,prize5,prize6_1,prize6_2,prize6_3,prize7,prize8
2025-09-16,61,8,0,10,20,77,33,67,44,48,63,2,65,34,35,49,7,18
2025-09-23,38,38,5,91,1,61,67,10,30,66,93,57,52,23,62,1,9,54
2025-09-30,56,8,70,93,11,80,70,85,14,56,62,73,63,58,27,13,5,65
2025-10-07,23,24,59,5,14,54,66,80,93,79,6,86,90,57,6,19,81,76
2025-10-14,40,26,24,22,88,88,84,36,58,70,60,30,61,3,33,21,11,45
2025-10-21,4,96,27,34,37,91,86,69,73,30,1,77,6,29,12,40,8,43
2025-10-28,13,62,56,92,5,54,91,72,22,33,30,41,56,97,1,93,20,56
2025-11-04,29,4,41,13,57,3,98,60,3,61,98,84,40,88,42,45,41,55
2025-11-11,41,34,80,74,54,32,57,61,99,8,46,66,19,22,40,43,71,29
2025-11-18,6,74,93,40,66,77,78,52,12,61,37,64,90,6,74,41,98,83
2025-11-25,0,35,38,11,61,95,87,62,11,86,61,99,49,20,76,27,39,38
2025-12-02,72,68,37,64,34,60,42,40,54,63,59,13,82,92,22,15,91,74
2025-12-09,38,33,95,89,44,51,36,35,57,14,22,74,87,96,13,80,62,59
2025-12-16,54,91,35,30,10,43,50,82,96,58,44,98,85,58,23,22,43,27
2025-12-23,90,35,40,16,59,65,62,96,49,14,72,20,4,71,64,46,43,66
2025-12-30,14,52,89,51,7,79,97,3,96,16,28,75,34,79,13,37,2,19
2026-01-06,3,66,53,84,91,37,48,78,2,21,65,9,33,34,14,97,20,74
2026-01-13,5,93,3,62,2,32,40,89,80,98,17,9,81,11,96,52,44,80
2026-01-20,18,76,90,54,17,9,26,22,76,15,90,81,98,54,38,74,14,16
2026-01-27,92,89,42,89,41,10,34,89,81,68,16,23,33,47,36,60,51,15
2026-02-03,38,37,56,2,94,61,74,32,51,24,38,53,32,27,49,89,22,78
2026-02-10,26,90,66,95,3,50,90,83,34,48,74,6,50,50,56,39,62,67
2026-02-17,2,7,21,47,38,81,8,86,91,11,93,99,62,1,14,6,58,11
2026-02-24,7,92,24,99,83,94,21,1,22,84,52,28,97,69,27,61,33,18
2026-03-03,64,5,28,93,31,53,33,12,11,70,40,69,95,58,82,91,66,58
2026-03-10,0,54,39,97,3,26,94,16,87,35,81,91,33,20,86,0,94,82
2026-03-17,83,76,27,37,56,71,57,85,61,88,45,13,17,72,29,75,2,31
2026-03-24,27,9,52,67,25,48,68,92,8,31,99,79,94,3,66,45,71,71
2026-03-31,51,56,30,85,8,47,34,5,59,41,30,53,84,66,85,29,36,14
2026-04-07,29,88,63,76,76,37,49,9,10,13,87,68,24,50,5,96,32,33
2026-04-14,77,98,83,20,91,72,48,44,1,39,73,46,4,21,97,23,42,75
2026-04-21,98,52,83,24,99,2,80,21,13,78,95,85,81,62,59,34,73,79
2026-04-28,97,60,94,1,47,77,93,1,4,6,4,48,69,65,30,16,97,68
2026-05-05,43,93,95,89,46,8,78,39,30,29,10,18,75,60,86,49,44,53
2026-05-12,25,21,20,79,21,69,70,79,23,14,87,78,91,21,72,14,26,88
2026-05-19,60,59,69,41,37,91,6,41,62,24,13,64,79,91,89,14,23,97
2026-05-26,27,59,69,94,12,27,72,82,68,76,0,34,68,94,83,19,43,80
2026-06-02,50,99,2,49,10,65,84,1,6,16,67,71,75,52,98,27,15,31
2026-06-09,97,90,80,33,54,77,61,67,75,1,32,66,96,32,16,10,57,8
2026-06-16,82,35,48,55,9,29,82,39,2,88,21,48,24,0,51,96,44,87
2026-06-23,35,53,64,19,80,92,62,96,2,45,80,77,68,70,34,25,27,80
2026-06-30,37,71,68,89,19,52,57,70,77,33,64,52,54,51,83,94,97,82
2026-07-07,72,0,66,28,46,74,86,23,35,45,86,70,47,19,87,19,85,99
2026-07-14,90,93,38,15,81,20,71,91,50,72,54,84,32,53,68,76,53,98
2026-07-21,77,92,53,19,73,58,36,19,35,26,48,75,39,28,18,76,75,96
