date,province,special,prize1,prize2,prize3_1,prize3_2,prize4_1,prize4_2,prize4_3,prize4_4,prize4_5,prize4_6,prize4_7,prize5,prize6_1,prize6_2,prize6_3,prize7,prize8
2025-09-16,xsqna,339961,40108,22100,22310,27620,97977,62133,30567,65044,1648,69663,31602,9965,1834,735,5149,907,18
2025-09-23,xsqna,734238,2038,23505,20391,97201,32261,95867,96610,85430,8966,67993,5257,8852,2923,3962,7301,709,54
2025-09-30,xsqna,296856,91108,62170,95093,57411,89080,1270,43085,26314,156,91362,73773,363,8258,6627,8413,305,65
2025-10-07,xsqna,634623,38924,29259,50505,73414,83454,14166,61580,76393,58779,49806,16486,9290,8457,1106,2519,581,76
2025-10-14,xsqna,734840,40326,70824,6322,71188,51488,88184,72336,94658,50370,24060,98130,1761,5303,4933,9021,711,45
2025-10-21,xsqna,233904,77396,13727,54234,95537,82191,83486,17869,15473,25730,51501,71877,4006,3229,1412,4140,508,43
2025-10-28,xsqna,619613,2962,14256,60792,67405,96154,50691,83472,98422,56233,9730,84441,2756,9797,8301,7093,820,56
2025-11-04,xsqna,519029,2804,9741,92513,15257,70703,47798,64860,51703,52861,20198,91284,7340,5188,3042,2145,241,55
2025-11-11,xsqna,859141,43734,17680,5174,56654,53232,33057,46261,36299,79108,2646,8866,3919,3022,5440,7443,771,29
2025-11-18,xsqna,777206,15274,38593,57640,76066,10877,11778,4052,77212,35461,96437,34764,2890,9206,1874,6941,198,83
2025-11-25,xsqna,813900,21535,75438,36211,48061,31195,80987,91862,19311,71086,51361,83099,8149,5020,8576,727,939,38
2025-12-02,xsqna,372772,80268,2537,45264,15134,39460,55142,89440,24154,67463,8359,38413,2882,792,4222,7015,391,74
2025-12-09,xsqna,735438,7633,96495,70489,56644,88251,25836,98035,55057,93414,79822,91874,8887,7896,6713,7780,762,59
2025-12-16,xsqna,930054,45091,18735,74230,44110,17543,68350,2982,76596,49158,21544,26998,7485,9158,1923,322,143,27
2025-12-23,xsqna,528990,56735,41240,41716,21859,32865,20462,85296,39049,22914,18872,58720,2304,7071,8864,9946,943,66
2025-12-30,xsqna,860214,88852,589,76051,98907,47079,26697,13603,19796,19516,60228,17875,9634,279,2313,9237,702,19
2026-01-06,xsqna,7603,32266,12153,77084,54491,87337,31348,23978,48002,67021,28465,97409,6533,1834,3914,8497,620,74
2026-01-13,xsqna,287605,16293,75403,35262,69002,63432,47840,38789,57680,53498,97417,67809,2081,5911,96,9552,644,80
2026-01-20,xsqna,451218,84676,1290,74454,54117,55909,17726,23422,71576,92015,93090,94081,5998,6654,7338,2274,914,16
2026-01-27,xsqna,415292,45989,50542,3989,96541,24410,37634,87989,881,68268,41416,72423,5833,5047,6736,7760,551,15
2026-02-03,xsqna,615038,40137,98756,41202,18594,95061,9874,36032,83851,91524,84438,92053,8332,6927,6749,389,822,78
2026-02-10,xsqna,249626,68190,19066,18295,12803,34350,90790,4183,73734,14748,96674,68106,8050,8950,2656,1639,562,67
2026-02-17,xsqna,770902,75007,24921,14847,30838,34481,53308,22186,91491,9611,69893,14699,5662,5401,2914,7606,158,11
2026-02-24,xsqna,79507,68492,35724,7699,38283,42194,34921,3501,8022,48984,56252,22028,3697,1969,4927,6061,333,18
2026-03-03,xsqna,730264,22305,43428,75393,87931,27953,99633,32312,55311,32570,72840,58469,8495,1958,2982,1491,266,58
2026-03-10,xsqna,143900,96354,42239,22697,67403,90026,75694,52416,84587,17635,86181,13291,3633,2620,4586,9300,94,82
2026-03-17,xsqna,459483,60376,20627,75137,99156,71671,54757,21185,85561,98788,3445,54713,8217,1272,8829,4275,102,31
2026-03-24,xsqna,614427,39309,91752,12967,98925,26248,83768,60092,55908,47731,74199,63779,2794,7503,66,3945,471,71
2026-03-31,xsqna,608151,90856,28330,57985,15708,5247,4534,11905,54359,75141,89230,32553,484,8566,9685,7329,136,14
2026-04-07,xsqna,748229,3088,12963,76676,88176,47237,81249,19309,39610,58013,4987,73268,2624,7850,6305,8896,232,33
2026-04-14,xsqna,359577,10198,10783,99420,58991,52672,58248,86044,32401,51839,91773,52346,304,8921,7697,2023,942,75
2026-04-21,xsqna,844398,24552,51983,55824,61599,51002,79080,38921,76113,6078,27295,72985,1081,2562,9659,5734,673,79
2026-04-28,xsqna,242897,27660,72294,44401,98947,96777,41293,32101,34504,19006,89304,70148,9569,665,9130,2616,97,68
2026-05-05,xsqna,328943,54793,4795,26889,49746,68808,11878,63339,6430,26129,72910,48618,275,3760,9086,2149,144,53
2026-05-12,xsqna,216625,53821,71120,32279,46321,36969,28770,28679,54023,55414,26287,178,3291,8921,1672,4114,526,88
