date,special,prize1,prize2,prize3_1,prize3_2,prize4_1,prize4_2,prize4_3,prize4_4,prize4_5,prize4_6,prize4_7,prize5,prize6_1,prize6_2,prize6_3,prize7,prize8
2025-09-20,82,1,48,69,17,63,40,31,81,63,52,51,59,29,88,75,25,81
2025-09-27,81,83,34,71,80,9,71,37,76,58,40,83,0,77,97,96,10,74
2025-10-04,66,22,41,26,79,77,78,76,67,55,90,82,2,84,69,65,2,89
2025-10-11,4,27,89,83,23,29,14,46,26,1,32,26,77,10,27,0,57,53
2025-10-18,14,62,7,12,0,18,10,39,95,45,63,5,66,67,49,7,16,44
2025-10-25,1,37,45,65,45,88,86,7,51,50,86,93,61,79,13,23,63,97
2025-11-01,81,60,76,52,58,3,11,50,46,12,65,70,71,67,74,98,39,53
2025-11-08,38,86,33,83,58,65,5,65,44,38,91,33,46,50,77,91,39,33
2025-11-15,45,56,77,86,37,6,63,60,76,91,61,32,15,90,12,11,79,49
2025-11-22,97,84,6,37,67,84,42,65,58,37,87,5,52,18,9,68,80,10
2025-11-29,36,89,62,28,29,8,59,88,49,4,14,54,53,81,65,6,24,6
2025-12-06,97,40,36,96,95,28,77,52,66,63,27,22,84,51,65,87,49,63
2025-12-13,37,77,19,81,97,11,99,40,71,68,86,81,15,78,89,44,11,37
2025-12-20,45,23,88,99,65,36,12,36,30,75,37,74,8,97,74,36,79,27
2025-12-27,19,16,97,73,16,41,48,11,68,85,29,62,45,52,4,15,21,82
2026-01-03,44,68,16,29,66,90,8,92,8,12,24,15,91,40,19,83,23,6
2026-01-10,71,88,29,12,39,54,30,34,93,94,19,66,32,92,85,43,13,1
2026-01-17,92,29,57,74,95,18,90,26,53,38,54,23,66,81,54,61,91,42
2026-01-24,24,32,97,42,95,15,93,1,59,9,89,42,29,39,20,46,87,21
2026-01-31,3,39,82,73,19,36,73,90,0,36,16,90,49,99,52,66,40,4
2026-02-07,49,27,71,69,35,26,28,74,44,63,80,46,52,71,18,89,79,25
2026-02-14,31,0,56,72,0,87,66,0,64,88,80,45,74,14,42,46,77,71
2026-02-21,87,2,79,64,54,39,17,14,8,64,27,21,67,9,70,18,68,43
2026-02-28,29,2,44,12,84,10,29,3,48,80,74,41,27,1,41,69,5,14
2026-03-07,99,58,3,44,37,31,69,64,51,3,29,81,70,49,43,83,15,25
2026-03-14,32,41,18,45,29,29,44,82,80,5,63,60,94,5,53,5,11,54
2026-03-21,63,72,72,93,93,62,74,70,85,25,59,92,0,64,91,34,51,33
2026-03-28,97,97,33,98,56,28,90,65,91,48,49,51,34,6,63,98,71,2
2026-04-04,38,84,71,27,6,25,98,47,41,85,6,73,24,24,19,34,37,1
2026-04-11,0,17,67,36,78,23,43,46,79,71,66,31,30,71,91,19,19,92
2026-04-18,58,94,1,25,35,88,1,94,57,13,71,43,58,2,54,47,22,64
2026-04-25,18,3,44,23,55,59,75,20,98,86,0,82,43,62,66,90,56,86
2026-05-02,63,84,75,14,91,30,58,84,57,39,47,57,99,26,56,62,80,74
2026-05-09,75,22,78,85,10,61,16,11,85,31,35,95,31,14,58,5,38,54
2026-05-16,72,35,84,25,17,4,63,31,92,74,77,62,29,79,90,12,42,61
2026-05-23,1,75,2,17,86,93,95,43,31,93,78,0,5,15,67,72,5,77
2026-05-30,54,12,53,79,35,63,4,30,77,60,15,10,25,47,9,86,9,91
2026-06-06,82,79,69,89,87,95,17,0,75,21,27,57,94,99,39,51,97,63
2026-06-13,28,98,27,74,62,84,42,15,83,8,51,24,83,75,35,30,97,40
2026-06-20,46,19,19,43,80,26,61,43,94,71,40,4,43,46,26,18,23,81
2026-06-27,22,23,35,74,68,5,44,92,12,37,27,10,29,16,11,25,45,86
2026-07-04,27,11,88,64,20,2,5,86,88,69,70,34,19,33,84,50,1,56
2026-07-11,93,74,30,32,0,8,54,17,89,17,23,20,44,12,87,31,47,99
