date,province,special,prize1,prize2,prize3_1,prize3_2,prize4_1,prize4_2,prize4_3,prize4_4,prize4_5,prize4_6,prize4_7,prize5,prize6_1,prize6_2,prize6_3,prize7,prize8
2025-09-20,xsqng,983182,63501,31048,15869,73717,88663,49340,24331,6081,79863,72852,74351,9159,529,3888,1175,525,81
2025-09-27,xsqng,189481,32283,70634,10271,29180,2609,77771,62337,25176,56058,26040,92983,5200,3477,8997,1196,910,74
2025-10-04,xsqng,197666,28622,54541,85926,52879,92377,61878,2876,61467,59555,90190,22882,9502,7484,5569,2165,702,89
2025-10-11,xsqng,779404,22827,8089,21083,44623,46629,88614,3946,64426,1501,67532,30926,7877,3010,8127,100,157,53
2025-10-18,xsqng,967914,55262,25407,51312,98600,7518,47310,68539,26795,70945,70563,81905,9566,1167,8349,3007,316,44
2025-10-25,xsqng,17201,6437,23645,31965,37145,24888,20986,53807,4551,81350,88886,85393,261,4979,8213,9323,963,97
2025-11-01,xsqng,691981,16160,30276,92652,42058,23403,15511,45150,55346,24912,2865,13970,3771,2567,3174,1098,739,53
2025-11-08,xsqng,158938,31286,90433,13283,88258,15365,69705,54865,93244,74438,35291,57933,8946,1850,9777,7791,839,33
2025-11-15,xsqng,468145,49656,85877,10486,86137,51606,66663,96860,94876,65991,89961,79532,3415,5790,7512,4511,479,49
2025-11-22,xsqng,732397,26784,76106,43937,35367,76884,59842,63365,39958,71237,78187,88305,6252,2118,9909,9568,980,10
2025-11-29,xsqng,359136,67989,46562,34728,75129,2008,33259,71588,5149,27704,2314,48054,8253,2081,5565,2606,524,6
2025-12-06,xsqng,683397,34540,70736,43696,25095,47728,61577,67252,43866,9463,93927,41322,4184,9151,2565,8287,749,63
2025-12-13,xsqng,547837,10077,10219,29981,22997,96311,43899,96040,7371,26868,1186,58981,7315,6678,7289,1344,911,37
2025-12-20,xsqng,473145,79823,1588,54299,10865,33236,79712,98836,33130,475,52437,95874,1308,6897,2574,4736,179,27
2025-12-27,xsqng,788319,33216,37997,77373,12316,31241,3148,14611,3268,36585,98029,39862,7445,5652,9004,415,921,82
2026-01-03,xsqng,176444,67668,23616,84829,41266,65790,19708,40592,86308,39412,24524,13015,7391,9940,319,5983,423,6
2026-01-10,xsqng,434371,39488,91629,86212,70639,53654,60230,9934,44593,39994,85419,42066,4932,1092,8785,7643,313,1
2026-01-17,xsqng,236692,38629,1557,35174,76195,46418,22190,75126,39053,66038,35554,62423,6266,7881,4454,8661,91,42
2026-01-24,xsqng,640224,2432,83497,74642,13095,31115,10493,57901,34359,27309,32789,32842,6929,9039,320,8746,187,21
2026-01-31,xsqng,403903,70239,77282,29373,31419,69336,39173,19590,82900,67336,45216,20090,5749,9899,7352,2266,740,4
2026-02-07,xsqng,49149,91027,38471,33669,95035,27826,42528,6774,30044,46463,62980,7246,2152,4471,1318,889,279,25
2026-02-14,xsqng,902431,76600,44956,69372,26200,81387,81666,57800,26564,59588,80680,66645,5174,914,1142,9146,677,71
2026-02-21,xsqng,920487,31902,58079,42964,45254,55839,58317,86714,58908,8464,65527,85221,1867,8709,5070,8018,368,43
2026-02-28,xsqng,709929,30502,24344,97612,35384,24510,10629,99903,84148,67380,98374,72841,5227,5501,6841,4969,405,14
2026-03-07,xsqng,886999,23958,58703,26444,78137,80431,12369,89264,51451,21303,76229,86081,3670,9449,7843,4683,415,25
2026-03-14,xsqng,738032,74941,42418,65645,48929,5729,37644,39882,19680,62805,32763,38060,994,6205,1153,205,111,54
2026-03-21,xsqng,736563,97272,2872,1893,43593,39962,37274,92470,35585,86725,43359,77492,5300,1364,4591,8934,251,33
2026-03-28,xsqng,336897,18897,84233,73698,52256,20728,49890,66365,73991,27148,41349,68351,6134,206,4563,3098,71,2
2026-04-04,xsqng,306938,6784,14171,43027,83706,72225,31498,72047,67541,83385,9006,40673,1124,5724,3719,5834,237,1
2026-04-11,xsqng,443100,56417,17067,81836,27678,85123,95943,11346,1179,94971,2466,35331,7230,1871,7291,3119,119,92
2026-04-18,xsqng,288358,92394,83801,25625,66735,93788,52601,40094,78657,35913,53671,52343,2358,2,5654,5147,922,64
2026-04-25,xsqng,853918,38503,20344,5723,64755,40659,18475,83120,1598,70886,1900,5782,9943,4362,3166,7090,656,86
2026-05-02,xsqng,802963,41084,47875,68514,4791,19630,45658,99284,79057,97839,36847,4257,7599,826,256,2762,480,74
2026-05-09,xsqng,228575,41222,48978,92285,69810,18061,62216,48511,985,74431,13735,74895,4631,8914,458,8705,338,54
2026-05-16,xsqng,410272,79735,93084,66225,64517,29804,49663,87031,79492,37774,31177,68262,1129,3679,2690,6112,742,61
2026-05-23,xsqng,819901,94375,80102,89817,39186,26193,29795,4143,74631,23593,98578,66900,9705,9715,1967,3072,305,77
2026-05-30,xsqng,448854,69112,44653,43779,28535,41563,66904,56130,31677,69160,24115,65710,3825,4147,9,9586,909,91
2026-06-06,xsqng,649582,21579,7169,83389,51887,30595,38017,9400,34675,84521,84127,32757,4394,6399,6839,8051,297,63
2026-06-13,xsqng,861228,40198,87827,974,52562,75484,36442,32815,68983,16808,72051,85324,6783,8275,2735,7230,697,40
2026-06-20,xsqng,394046,58819,79519,66243,48380,28326,79261,69043,75894,9471,29740,30804,3343,8446,9426,8318,723,81
2026-06-27,xsqng,427822,53823,27835,67174,95568,605,10644,43792,58812,8837,49727,77010,8829,2816,6011,1525,645,86
2026-07-04,xsqng,257327,81111,288,74464,55620,63002,92705,54886,30288,38069,83370,534,9419,9333,9784,5950,801,56
