date,special,prize1,prize2,prize3_1,prize3_2,prize4_1,prize4_2,prize4_3,prize4_4,prize4_5,prize4_6,prize4_7,prize5,prize6_1,prize6_2,prize6_3,prize7,prize8
2025-09-18,24,22,22,49,54,53,27,18,64,81,20,21,4,90,40,65,58,88
2025-09-25,5,75,22,13,0,56,2,21,64,68,4,4,68,12,5,32,8,90
2025-10-02,14,40,29,7,18,50,4,49,14,17,78,46,61,81,98,90,98,16
2025-10-09,39,46,2,86,5,80,61,67,17,52,57,6,31,18,20,57,6,31
2025-10-16,51,38,54,5,26,63,96,30,32,20,97,73,15,93,94,75,62,58
2025-10-23,98,97,51,50,5,12,8,44,54,76,17,6,90,9,32,55,55,65
2025-10-30,24,94,37,11,91,87,57,34,94,76,27,26,14,48,4,44,41,26
2025-11-06,4,63,13,11,74,60,33,6,97,34,83,78,93,59,23,94,13,66
2025-11-13,61,30,39,3,31,46,46,28,33,46,9,0,75,80,74,93,36,56
2025-11-20,53,61,63,43,8,62,59,75,47,99,75,92,37,20,71,1,45,41
2025-11-27,82,53,20,99,6,98,98,64,73,56,92,58,47,89,42,72,22,36
2025-12-04,69,45,43,37,86,60,6,37,82,73,46,71,78,47,26,69,32,14
2025-12-11,59,93,1,52,92,8,78,95,25,25,32,25,49,35,77,3,50,61
2025-12-18,76,53,16,56,13,98,13,50,48,55,7,21,68,42,26,85,35,99
2025-12-25,66,56,91,66,38,34,51,58,81,80,55,7,81,81,21,45,91,18
2026-01-01,8,14,4,86,31,21,61,28,16,16,57,95,18,97,76,66,59,7
2026-01-08,62,73,4,81,86,82,59,62,17,68,27,27,90,39,85,84,70,63
2026-01-15,94,64,77,32,56,47,1,63,44,52,86,79,3,96,78,62,89,88
2026-01-22,42,76,42,31,89,45,12,9,58,77,54,99,3,97,84,98,39,55
2026-01-29,34,47,12,35,45,63,66,66,60,57,4,9,57,20,67,80,26,82
2026-02-05,24,39,75,22,32,25,77,81,56,85,12,91,28,0,35,71,53,81
2026-02-12,40,93,31,14,25,89,7,66,0,65,72,25,39,3,92,84,21,92
2026-02-19,21,64,86,98,13,12,59,84,65,55,14,20,14,11,43,61,96,40
2026-02-26,97,85,83,86,70,42,21,25,22,26,20,29,62,2,39,59,73,56
2026-03-05,58,33,97,94,96,1,66,88,66,17,38,95,32,53,2,73,92,24
2026-03-12,38,5,8,43,8,46,61,28,84,56,84,29,83,11,9,24,49,46
2026-03-19,51,76,27,27,80,70,67,54,78,58,99,60,97,6,20,31,46,49
2026-03-26,71,93,81,4,84,6,23,9,94,57,12,42,48,90,29,98,87,91
2026-04-02,18,39,69,96,36,18,86,57,25,87,17,56,25,20,59,93,14,9
2026-04-09,68,28,14,58,36,7,21,34,38,85,14,5,89,71,32,39,4,34
2026-04-16,20,84,66,2,86,34,84,97,84,33,73,34,0,8,13,83,47,81
2026-04-23,18,2,33,83,53,67,72,85,16,37,35,51,95,76,51,91,75,93
2026-04-30,56,33,97,17,6,37,18,17,51,72,63,18,56,32,40,59,43,31
2026-05-07,76,1,97,69,79,52,13,61,57,3,1,62,56,7,89,38,27,90
2026-05-14,31,20,10,81,96,36,42,40,89,32,70,27,69,49,57,57,2,66
2026-05-21,51,47,42,73,2,79,50,28,44,14,41,56,14,79,92,82,92,55
2026-05-28,86,50,24,24,19,3,99,64,21,50,61,93,83,91,37,70,32,65
2026-06-04,4,75,59,80,93,29,10,39,37,21,35,85,0,37,21,94,96,25
2026-06-11,67,31,71,25,82,90,15,11,5,43,39,52,73,57,57,11,71,21
2026-06-18,73,36,55,5,11,84,22,50,70,75,16,61,25,96,33,65,79,66
2026-06-25,5,9,48,55,61,17,51,44,13,20,99,34,1,27,6,96,64,62
2026-07-02,55,40,20,58,76,0,17,48,92,75,2,25,26,90,41,24,95,52
2026-07-09,23,14,81,23,19,1,71,30,78,68,77,49,79,39,86,73,9,82
2026-07-16,63,33,4,33,72,0,7,93,93,87,33,22,61,38,18,14,59,75
