date,province,special,prize1,prize2,prize3_1,prize3_2,prize4_1,prize4_2,prize4_3,prize4_4,prize4_5,prize4_6,prize4_7,prize5,prize6_1,prize6_2,prize6_3,prize7,prize8
2025-09-18,xsqt,56524,6222,60022,23149,76454,27953,10927,6518,22064,47581,71020,93321,5604,2090,9640,1465,958,88
2025-09-25,xsqt,453805,73475,40022,63513,94200,28756,82302,81421,25464,56568,23404,32904,768,2212,5905,6032,508,90
2025-10-02,xsqt,432514,63140,77029,6107,96918,74850,46704,34649,53714,27917,23878,68746,5661,4681,4598,3390,998,16
2025-10-09,xsqt,33339,20646,94902,35786,1805,41580,39261,78467,13417,39152,42957,61206,2231,9118,1020,5757,106,31
2025-10-16,xsqt,728951,94038,1054,48205,65526,4563,46496,27130,41532,42020,10997,81773,2115,7893,5094,5675,962,58
2025-10-23,xsqt,464198,95297,95651,60950,5405,56612,23208,13744,21854,49076,87517,71506,3890,2909,932,8155,455,65
2025-10-30,xsqt,965524,83494,85537,14111,31391,15187,81157,48634,75094,37476,63427,76226,8414,7648,1404,744,741,26
2025-11-06,xsqt,838004,14563,65113,32911,46674,80260,68533,71906,1997,89934,83083,73578,8093,459,9723,8594,513,66
2025-11-13,xsqt,805961,63030,75539,11503,29831,17146,54346,5328,29133,53046,91809,30500,2275,9480,1574,93,36,56
2025-11-20,xsqt,530553,62561,25663,62943,59108,37562,89759,48775,68147,15799,50775,82092,37,8120,471,2001,345,41
2025-11-27,xsqt,664082,85953,7320,16799,86306,67898,78698,39464,46873,58156,8992,54458,3947,3789,8542,4672,522,36
2025-12-04,xsqt,213069,57745,89443,57637,75186,51860,31506,2837,95182,99673,8546,65271,5078,3747,9726,2269,132,14
2025-12-11,xsqt,51659,10993,92401,22452,53492,42408,96578,77595,31125,54725,24432,76725,5549,7335,6377,7703,350,61
2025-12-18,xsqt,330876,40653,6316,6556,5813,60798,99813,27850,16148,31355,60507,34321,68,7342,4026,7485,935,99
2025-12-25,xsqt,136266,22856,42491,46366,63138,52634,87351,46958,80681,33780,9955,77307,1381,181,6021,9145,691,18
2026-01-01,xsqt,179808,80614,68804,39986,88431,68521,41961,53128,66016,10416,64757,40595,8418,5897,276,4366,559,7
2026-01-08,xsqt,278562,60473,5504,2381,57486,21982,13559,9362,2717,79468,89127,4827,1290,3939,8285,5984,170,63
2026-01-15,xsqt,174594,88864,44477,24032,63256,94247,55401,12363,68144,10752,78186,33479,7603,8396,6578,2062,389,88
2026-01-22,xsqt,497242,17876,61142,81631,17089,95245,37712,2509,39558,477,77554,61499,3403,6697,984,9198,839,55
2026-01-29,xsqt,417634,6747,5912,15335,32245,82863,8066,5766,87360,91457,79704,28109,3157,1220,3867,5280,426,82
2026-02-05,xsqt,797024,239,36075,11822,34332,50525,89677,22181,12056,16485,21512,56191,2628,3800,6935,5871,353,81
2026-02-12,xsqt,194340,71493,45731,31214,34825,44189,33707,86066,83700,33465,48772,64325,4739,1103,9192,1284,421,92
2026-02-19,xsqt,870921,41864,46986,27698,28613,29612,96259,44484,89365,62155,66014,21620,7914,2511,1343,361,596,40
2026-02-26,xsqt,304497,47685,71883,88586,14870,2642,90121,89325,70322,69226,33720,74829,6662,402,5439,4259,573,56
2026-03-05,xsqt,86558,13033,26597,7794,49396,96301,35566,1788,61366,93417,15638,595,6132,4953,7602,6973,792,24
2026-03-12,xsqt,817938,83205,32808,78443,9808,15346,62861,97028,41984,72856,20584,42629,783,9811,3509,7024,949,46
2026-03-19,xsqt,246851,57176,81227,7727,98480,65270,40967,50654,32878,5858,70399,51660,6797,8206,6720,9231,946,49
2026-03-26,xsqt,764171,17593,35781,66104,80184,68906,89923,45809,71494,20357,67512,92342,9848,3190,3929,7798,987,91
2026-04-02,xsqt,358418,82739,57569,36796,59236,75718,98086,37857,93425,31887,48317,82656,5625,4120,9959,9393,214,9
2026-04-09,xsqt,546768,42228,19014,5658,88936,79707,31121,78934,39438,52285,52414,20405,9089,5471,1032,8839,904,34
2026-04-16,xsqt,451920,61984,2466,76302,32986,76834,92984,38597,96284,41333,63173,65834,2200,2908,7713,2383,47,81
2026-04-23,xsqt,982118,26102,68533,52383,17553,44867,99172,38985,73016,49337,18135,17851,7495,7276,8151,9891,675,93
2026-04-30,xsqt,675956,88233,46897,91117,41606,55537,38418,26617,81751,58672,16863,20418,7056,1132,5040,159,943,31
2026-05-07,xsqt,558276,8201,22397,2269,93379,57252,99713,39161,42357,84303,72501,2762,2656,7507,3889,2638,927,90
2026-05-14,xsqt,364631,29820,30710,2281,96696,97436,99442,21140,2089,6632,93870,58327,9569,8749,1957,157,402,66
2026-05-21,xsqt,475351,17147,26042,7273,81902,3379,9250,57028,66844,91014,97141,12456,5514,7379,8792,5182,692,55
2026-05-28,xsqt,701386,22950,29824,33624,55519,18103,28799,44064,85521,47050,88161,40093,6583,5691,3037,3670,932,65
2026-06-04,xsqt,155504,3475,52759,34180,94393,4129,14910,86139,9737,38921,44235,79985,3600,5737,4021,1894,396,25
2026-06-11,xsqt,661167,88231,85371,95425,24082,72390,73815,79511,31305,76943,73139,85352,3473,1057,5157,4511,771,21
2026-06-18,xsqt,787673,58036,62655,2105,50511,19984,86022,71150,66570,58975,44416,82061,2925,8196,2833,1665,879,66
