date,special,prize1,prize2,prize3_1,prize3_2,prize4_1,prize4_2,prize4_3,prize4_4,prize4_5,prize4_6,prize4_7,prize5,prize6_1,prize6_2,prize6_3,prize7,prize8
2025-09-21,30,58,91,16,10,76,1,39,3,51,31,85,95,32,12,22,44,4
2025-09-28,22,7,40,55,53,51,42,12,11,13,66,50,66,40,76,5,66,18
2025-10-05,49,93,0,91,45,1,45,99,2,63,76,42,53,18,27,73,17,81
2025-10-12,75,31,38,26,63,67,71,97,73,62,23,14,57,67,72,61,44,30
2025-10-19,59,87,92,20,84,42,14,39,26,77,9,69,22,79,77,1,69,59
2025-10-26,20,23,5,15,4,28,43,65,98,80,32,59,92,15,32,95,88,55
2025-11-02,45,84,86,38,31,97,99,4,57,99,63,52,86,70,28,85,8,87
2025-11-09,82,33,22,42,72,99,5,94,1,49,58,17,37,66,64,20,52,19
2025-11-16,22,13,22,77,74,93,66,37,6,43,92,80,65,73,5,55,88,38
2025-11-23,57,8,94,84,47,63,82,59,17,98,22,49,45,2,27,92,68,33
2025-11-30,30,91,1,68,39,7,95,77,71,49,89,54,17,4,70,89,79,99
2025-12-07,24,87,75,4,76,56,98,31,52,28,31,47,30,78,43,45,83,79
2025-12-14,64,80,3,81,41,13,47,14,72,77,22,49,0,23,92,45,59,69
2025-12-21,78,32,21,21,40,58,10,23,45,60,56,91,32,93,90,57,20,48
2025-12-28,31,63,12,96,73,65,90,94,2,44,4,3,20,67,15,18,28,30
2026-01-04,88,29,65,49,34,23,8,68,86,13,57,96,20,93,17,58,8,48
2026-01-11,52,95,29,65,9,30,93,71,59,25,86,10,0,33,67,55,21,28
2026-01-18,84,24,63,11,3,15,81,87,79,25,61,58,31,52,3,44,91,73
2026-01-25,55,76,59,78,28,36,64,41,74,13,53,17,37,37,59,19,56,57
2026-02-01,91,57,52,69,56,32,98,72,91,60,58,47,18,40,49,73,20,4
2026-02-08,79,88,63,77,5,48,11,4,61,95,3,6,24,67,20,11,93,53
2026-02-15,29,27,90,48,53,89,60,45,91,37,69,86,6,64,5,44,83,10
2026-02-22,94,45,37,42,24,19,64,93,59,32,44,41,38,14,92,17,34,28
2026-03-01,8,27,0,19,45,81,46,39,93,96,0,9,36,16,42,30,47,15
2026-03-08,4,69,64,59,22,91,5,42,2,41,53,71,93,81,19,39,0,98
2026-03-15,67,97,80,62,3,49,52,97,96,8,78,4,16,92,92,86,21,21
2026-03-22,85,38,5,70,10,43,94,81,38,67,1,11,51,51,96,21,72,38
2026-03-29,89,66,91,73,40,27,47,94,9,18,94,72,81,7,1,95,27,21
2026-04-05,20,6,41,96,76,43,56,46,7,12,52,13,53,58,74,34,86,20
2026-04-12,18,4,0,63,47,78,10,64,54,24,64,11,77,23,46,6,87,17
2026-04-19,44,3,57,19,37,88,16,74,53,53,91,0,62,24,9,30,37,73
2026-04-26,86,4,83,64,94,13,59,21,54,14,16,45,93,84,96,13,67,53
2026-05-03,42,65,25,99,5,58,64,71,73,17,86,96,45,43,32,54,56,54
2026-05-10,13,83,28,80,33,83,88,8,66,93,80,68,6,23,2,67,31,21
2026-05-17,86,1,72,51,51,31,25,42,53,32,40,2,11,61,98,0,88,74
2026-05-24,55,54,68,35,26,85,11,26,60,71,99,1,90,6,25,41,51,97
2026-05-31,41,85,50,52,14,81,94,23,96,52,96,75,69,62,25,26,52,92
2026-06-07,2,15,62,94,48,66,3,25,76,77,71,22,44,67,26,9,90,89
2026-06-14,10,29,31,92,49,53,20,60,35,27,56,84,70,46,10,66,15,62
2026-06-21,60,45,10,91,11,65,22,87,85,88,39,21,13,28,95,73,17,74
2026-06-28,30,11,75,65,59,78,98,97,8,60,17,44,96,72,22,10,83,31
2026-07-05,0,13,61,19,48,47,45,43,96,3,99,41,0,66,61,85,81,49
2026-07-12,82,65,68,96,15,1,12,70,26,16,48,25,22,41,69,59,52,7
2026-07-19,26,78,88,85,61,57,41,41,78,20,12,1,73,16,48,86,23,27
