date,province,special,prize1,prize2,prize3_1,prize3_2,prize4_1,prize4_2,prize4_3,prize4_4,prize4_5,prize4_6,prize4_7,prize5,prize6_1,prize6_2,prize6_3,prize7,prize8
2025-09-21,xstg,96530,74858,3491,49616,65810,31076,51001,78239,18403,9751,40831,96785,6395,1432,5012,6922,444,4
2025-09-28,xstg,72522,53707,54740,11855,56953,73951,65042,64912,31711,25713,39366,64750,4866,640,5376,3105,166,18
2025-10-05,xstg,715049,44893,58100,16691,58845,63101,23045,41799,83202,58163,36176,53942,4453,318,8627,4373,17,81
2025-10-12,xstg,496675,50931,37538,68626,14663,68767,4471,10297,10573,90662,57223,42514,1257,1467,9372,9661,344,30
2025-10-19,xstg,97059,22687,2192,58720,60684,91042,87214,67639,42626,5477,91709,56269,5222,6779,7777,8701,69,59
2025-10-26,xstg,351920,98323,89905,70015,17204,18428,41543,5465,52298,89680,89932,98159,6992,8115,4332,8395,388,55
2025-11-02,xstg,145445,7484,96286,96138,21031,10197,17799,77504,86857,73099,3363,20852,6286,4570,1528,1385,208,87
2025-11-09,xstg,114282,90833,5722,13842,96772,86299,71705,57094,1101,47149,51758,69317,5337,5966,2164,2120,152,19
2025-11-16,xstg,840922,88113,52722,76077,96974,58393,54166,53837,62206,72043,39192,49880,3865,6073,105,7655,888,38
2025-11-23,xstg,996357,39908,96194,96184,33447,72163,20982,12059,55617,65098,94422,64949,7245,3602,7327,2892,68,33
2025-11-30,xstg,198430,1891,67701,29068,6539,80907,55795,94077,12671,24449,5789,66354,6817,4,1270,9789,579,99
2025-12-07,xstg,828424,41287,91075,82404,41676,62056,60898,28531,81552,14428,61431,92247,8830,5778,4743,645,983,79
2025-12-14,xstg,363164,63180,18303,17381,42341,4013,58147,15214,2872,15177,18122,26449,9100,6223,1492,4845,359,69
2025-12-21,xstg,258278,78832,92321,1121,65040,37058,4810,92323,36745,91460,91756,69591,732,7093,2390,857,920,48
2025-12-28,xstg,121031,73763,61112,41896,15973,72065,23790,67294,28902,20044,68104,57503,5920,667,1615,7718,728,30
2026-01-04,xstg,520288,93629,37765,69949,27434,10423,91208,13568,46186,95813,99257,61496,2920,6093,3117,2958,308,48
2026-01-11,xstg,656152,80395,35229,56865,38009,73830,63593,88571,50959,77825,83486,60510,8700,2633,567,7855,321,28
2026-01-18,xstg,780984,42924,89563,67011,14503,5515,58681,53387,75779,54525,1661,47858,8031,2052,6703,3544,591,73
2026-01-25,xstg,804455,43176,97959,71878,8928,63536,13164,19941,93874,15913,21453,97017,7037,1237,5859,119,756,57
2026-02-01,xstg,87891,38457,38452,45169,99656,43532,9198,21272,73691,90260,33358,41047,3318,6640,6649,6373,20,4
2026-02-08,xstg,465579,62188,82163,79077,34305,38748,18611,5704,95561,61495,22403,28106,9824,5667,4420,6911,693,53
2026-02-15,xstg,18529,68627,61790,68548,56853,28689,11260,94245,16591,87637,23569,20686,4206,64,4405,8644,683,10
2026-02-22,xstg,902794,29145,41037,70842,51224,41619,68464,28793,56459,89132,83044,63941,2038,6014,4192,3617,434,28
2026-03-01,xstg,549308,27127,2700,9619,15745,65781,15546,25839,23093,70196,86700,58309,1836,1516,7742,8030,747,15
2026-03-08,xstg,394704,99669,18164,39959,72222,93091,81305,33142,56602,44641,23853,36571,2493,481,9519,2039,600,98
2026-03-15,xstg,441767,64397,23980,88262,99903,33849,10852,21797,74696,99608,8778,81404,416,8092,992,7886,821,21
2026-03-22,xstg,730985,38938,75105,31270,88910,87943,89094,30881,28638,21167,76001,16011,5051,7051,4296,5421,272,38
2026-03-29,xstg,531689,83666,21991,31973,9940,67927,26947,63294,74209,41618,93994,14472,9081,1807,601,6895,227,21
2026-04-05,xstg,983920,6206,74641,72296,59876,12843,43256,16846,92007,16912,30352,86513,1653,1058,8074,2834,486,20
2026-04-12,xstg,855718,31704,53400,92263,23547,35478,73010,9264,48554,8924,11464,35611,77,8623,6946,2206,687,17
2026-04-19,xstg,480644,81303,83257,73319,54837,4888,87316,75774,6253,8553,32491,65600,7262,3524,4809,130,637,73
2026-04-26,xstg,624586,12104,39183,12264,75394,46513,75659,22121,58654,52214,72716,67445,2193,3784,4396,9113,467,53
2026-05-03,xstg,796442,87565,87425,21999,84605,66658,42064,63871,16873,88917,59386,72196,8145,1243,7332,4254,456,54
2026-05-10,xstg,378913,78183,16528,12180,50033,80383,5788,35208,7766,76893,97180,77268,1906,3523,2502,5567,531,21
2026-05-17,xstg,486686,87701,41572,96451,79851,83231,44525,9242,11953,27332,76340,47902,9411,4461,4898,6000,288,74
2026-05-24,xstg,347955,39354,3568,39735,17026,70785,28511,79826,99360,71671,14799,9801,1890,8106,925,7041,451,97
2026-05-31,xstg,197341,58985,72050,43652,64214,68581,92294,62223,72696,56352,42296,42475,869,862,4625,4626,552,92
2026-06-07,xstg,129302,77615,93762,62494,17948,64066,7603,51825,576,78777,29371,27422,2844,2767,3926,1209,390,89
2026-06-14,xstg,897210,96129,37831,7992,37149,87653,44220,90160,84635,22327,70456,65184,6470,6346,8410,5966,915,62
2026-06-21,xstg,75760,57745,54710,91691,53911,27065,72022,52687,19885,86888,46539,47321,3613,9028,3295,7773,917,74
2026-06-28,xstg,792930,24611,92175,66365,4759,31478,75998,14097,74008,51660,59317,96044,3296,5072,822,2910,683,31
2026-07-05,xstg,673100,49113,23461,93019,4348,30147,43945,3143,31796,21903,89699,3141,6100,6666,3761,9585,281,49
2026-07-12,xstg,898582,11865,22368,62096,77715,91401,31112,32870,82026,82316,80048,37225,6522,3841,4469,9759,252,7
2026-07-19,xstg,486026,82978,1288,17485,36461,89657,50741,73041,97878,520,4712,74001,773,5916,3248,7386,623,27
