date,special,prize1,prize2,prize3_1,prize3_2,prize4_1,prize4_2,prize4_3,prize4_4,prize4_5,prize4_6,prize4_7,prize5,prize6_1,prize6_2,prize6_3,prize7,prize8
2025-09-15,75,21,6,10,49,1,44,20,11,71,98,27,24,93,56,70,7,59
2025-09-21,74,85,54,87,24,87,79,72,14,53,85,24,5,46,91,39,94,49
2025-09-22,54,84,2,22,1,86,57,65,14,62,9,17,18,18,90,79,15,96
2025-09-28,9,92,82,99,54,18,95,68,0,27,5,55,38,21,18,23,27,45
2025-09-29,16,91,24,84,26,59,13,27,6,75,61,74,21,24,91,59,31,64
2025-10-05,81,81,97,26,81,6,90,98,92,32,59,25,75,4,64,47,98,26
2025-10-06,18,96,20,70,6,55,25,44,95,45,19,84,47,24,81,30,39,12
2025-10-12,9,17,21,97,77,68,5,76,55,86,62,34,12,19,0,17,23,10
2025-10-13,57,40,27,16,22,93,67,19,8,41,81,2,71,34,41,85,64,3
2025-10-19,7,73,18,5,16,24,46,4,15,69,4,52,30,65,30,30,55,29
2025-10-20,29,4,76,0,73,43,25,53,36,80,5,79,93,39,94,67,49,35
2025-10-26,28,45,57,2,23,65,49,72,59,79,40,57,17,32,41,87,61,23
2025-10-27,89,71,9,80,80,55,31,63,72,1,95,65,94,31,78,93,68,75
2025-11-02,21,39,10,34,79,39,91,17,88,24,89,40,26,16,7,20,14,71
2025-11-03,27,70,69,79,19,37,3,10,82,7,47,14,70,3,50,75,75,53
2025-11-09,11,32,45,0,10,55,77,67,34,76,50,8,15,80,49,79,15,23
2025-11-10,97,59,60,41,27,86,37,63,79,48,35,44,0,63,32,22,95,59
2025-11-16,82,0,72,28,85,92,42,14,16,71,5,22,98,73,44,65,52,6
2025-11-17,29,54,28,19,46,40,40,69,54,95,5,5,88,29,14,55,57,66
2025-11-23,64,32,53,38,69,79,36,27,6,48,13,7,33,62,15,62,74,25
2025-11-24,79,85,76,42,72,96,52,81,86,58,66,52,92,80,46,26,25,69
2025-11-30,86,39,42,89,88,15,67,36,50,72,38,14,40,17,97,94,81,49
2025-12-01,0,48,53,69,61,0,39,58,7,21,11,44,31,78,66,65,3,54
2025-12-07,62,17,44,36,67,26,99,46,28,80,57,78,69,84,74,13,84,54
2025-12-08,5,14,53,96,56,29,11,19,47,59,98,33,35,28,40,64,77,58
2025-12-14,8,95,50,18,71,84,68,69,65,5,63,72,31,96,23,92,73,2
2025-12-15,25,56,91,68,14,53,80,53,9,12,24,56,85,5,5,12,65,42
2025-12-21,12,16,58,9,18,97,59,74,25,68,89,66,60,84,76,30,6,20
2025-12-22,27,56,74,59,46,69,57,71,22,43,3,72,1,89,63,51,92,30
2025-12-28,79,9,4,4,94,13,46,20,59,87,96,54,24,93,44,11,45,57
2025-12-29,7,2,51,55,23,39,80,66,77,37,56,81,50,50,97,49,38,18
2026-01-04,64,11,25,3,85,56,40,70,20,82,71,60,64,27,15,95,53,81
2026-01-05,70,6,30,91,79,97,49,73,89,29,49,25,3,61,67,51,30,78
2026-01-11,15,84,64,84,90,41,73,76,26,35,23,77,84,57,99,98,60,25
2026-01-12,1,37,57,46,78,50,25,57,75,48,34,64,19,75,76,87,69,41
2026-01-18,11,26,22,33,1,17,34,69,67,33,54,40,53,65,93,81,20,25
2026-01-19,2,13,82,81,89,82,43,31,51,71,64,8,97,68,18,58,13,64
2026-01-25,54,75,99,90,43,38,44,95,79,52,48,90,70,57,37,36,83,70
2026-01-26,82,91,17,56,35,85,49,10,87,63,89,72,5,33,95,30,46,53
2026-02-01,67,35,29,81,82,22,26,89,51,33,84,32,1,51,98,41,3,79
2026-02-02,8,50,42,25,28,22,44,12,55,13,38,86,85,37,14,33,76,61
2026-02-08,21,43,8,12,71,63,47,95,37,41,65,61,49,17,39,54,86,49
2026-02-09,79,69,22,37,31,19,29,82,85,69,65,96,11,9,30,36,57,90
2026-02-15,8,11,47,20,85,59,75,7,1,19,66,82,47,47,86,14,85,15
2026-02-16,68,34,14,54,65,78,71,1,80,49,83,58,87,56,74,28,9,98
2026-02-22,80,78,9,65,35,0,84,18,75,54,39,48,26,74,24,48,18,66
2026-02-23,82,51,79,0,17,94,85,24,93,32,36,52,57,96,83,58,11,96
2026-03-01,10,64,46,20,88,6,22,26,47,98,94,38,3,4,1,50,25,8
2026-03-02,95,56,39,79,3,36,30,3,18,60,55,13,16,13,61,85,53,86
2026-03-08,78,52,41,62,17,35,44,5,60,55,76,71,79,67,81,64,86,50
2026-03-09,3,86,25,94,73,55,98,83,65,88,97,42,19,55,14,77,61,32
