date,province,special,prize1,prize2,prize3_1,prize3_2,prize4_1,prize4_2,prize4_3,prize4_4,prize4_5,prize4_6,prize4_7,prize5,prize6_1,prize6_2,prize6_3,prize7,prize8
2025-09-15,xstth,209975,2321,66406,86410,88649,79501,19844,73720,18011,12171,47998,57027,5024,4793,6256,5570,307,59
2025-09-21,xstth,502074,47885,33454,34687,9224,83887,73379,94272,13014,97653,70685,8224,2905,8246,3191,6739,594,49
2025-09-22,xstth,942254,35584,1902,8922,201,70886,28357,2765,16414,962,36509,78617,6218,9418,9390,1379,915,96
2025-09-28,xstth,980109,65092,79982,16099,9654,5918,18295,64568,55300,4427,91905,77855,1338,7421,2918,9923,727,45
2025-09-29,xstth,543916,60191,77424,11984,14126,62359,63713,77927,8706,74875,11261,51474,2821,1524,9591,8559,31,64
2025-10-05,xstth,589281,83881,54197,21826,94781,12806,82190,1998,35992,54732,52359,26125,9675,9004,1364,4147,398,26
2025-10-06,xstth,995118,95996,82720,68970,90206,89055,40725,1644,46195,74945,64019,43484,5647,9324,3381,2830,639,12
2025-10-12,xstth,395309,4617,28621,99797,3177,9268,12405,17776,85055,5586,46562,49134,6312,6319,6300,2617,23,10
2025-10-13,xstth,931457,87740,88727,37716,6422,29693,25767,42319,56408,62141,62681,13102,2671,4634,7241,8885,264,3
2025-10-19,xstth,62307,78773,4218,71805,63516,65324,78046,96604,96315,82569,89904,21452,7930,965,630,2430,355,29
2025-10-20,xstth,334029,49904,98676,73100,99473,66443,84025,11153,87236,41880,67805,43579,7493,3939,6994,4867,549,35
2025-10-26,xstth,45828,97145,8857,27702,31823,67065,9949,47872,49459,28779,50240,62157,6717,5932,2341,3987,761,23
2025-10-27,xstth,963289,20871,23909,58280,12680,37055,38831,72863,90872,74401,28495,70065,394,5731,3078,9993,968,75
2025-11-02,xstth,481121,43639,45610,27934,28079,34139,22691,4117,7588,79824,67689,80940,3926,8616,9807,6020,314,71
2025-11-03,xstth,866627,40370,3869,13179,52719,46437,35703,43910,83882,46707,66447,87314,3170,5403,7750,3575,775,53
2025-11-09,xstth,269011,56532,91345,9100,94510,13655,52277,97567,97334,84876,89050,47008,4715,6780,3149,8479,15,23
2025-11-10,xstth,832197,37959,73760,62741,4427,99686,41137,63063,2279,51948,53235,73044,8600,9263,3932,7922,895,59
2025-11-16,xstth,129782,45200,76472,39928,55585,68192,68442,78614,10716,13571,7805,54922,8298,2973,3544,8365,352,6
2025-11-17,xstth,29629,88354,62628,11419,35246,31840,43340,2669,19954,70495,73605,94705,7688,8329,3514,8255,757,66
2025-11-23,xstth,9664,56132,66353,438,83069,81079,69436,81127,22106,46948,22413,707,2933,1062,8015,8062,374,25
2025-11-24,xstth,525279,60185,84576,35242,86472,56196,53652,45581,80386,94958,21366,44952,2892,3380,3546,6526,425,69
2025-11-30,xstth,231486,71039,45342,16789,82088,18715,89467,95036,12750,63472,25338,72114,4140,7217,7397,6694,881,49
2025-12-01,xstth,385900,65048,59653,26369,53061,1900,29839,66958,63007,55921,71411,31444,9031,1278,5866,7965,703,54
2025-12-07,xstth,73662,317,99644,84636,17667,11326,6199,46946,47728,61280,92357,74078,1569,9784,3274,113,384,54
2025-12-08,xstth,995605,65314,29853,98296,89756,43329,31511,4719,79047,81459,498,25533,35,4828,40,5264,177,58
2025-12-14,xstth,734008,65095,88850,28918,42471,43984,96668,97669,36565,17605,61463,10072,5231,3796,6723,8692,573,2
2025-12-15,xstth,384625,70156,59391,10368,60714,24653,11180,72253,57909,98012,92924,23556,6085,4105,2605,8312,965,42
2025-12-21,xstth,196212,61216,4558,23809,26318,94497,65359,7874,98225,9068,39489,49966,4660,884,9776,2630,306,20
2025-12-22,xstth,636327,57456,85274,7959,71046,55769,42657,8271,22222,55343,41103,98972,601,689,5863,8651,392,30
2025-12-28,xstth,855979,44409,94904,44504,63394,82913,21446,36220,78459,30487,94396,50754,5224,8493,8344,2011,345,57
2025-12-29,xstth,401707,38802,251,8255,47623,83239,24880,52466,95877,20537,69356,14381,8350,3350,7397,7949,838,18
2026-01-04,xstth,528264,29811,55725,90303,54685,98256,32740,49770,70720,46982,25471,25760,5364,2227,6915,195,753,81
2026-01-05,xstth,715470,1606,18730,10591,14179,84297,84949,67173,80289,59729,74049,79725,7603,8361,767,9651,630,78
2026-01-11,xstth,672315,78884,39064,55284,10890,65741,94673,85176,99326,23235,47423,79677,7984,1857,499,98,460,25
2026-01-12,xstth,640801,38437,4957,14446,65378,71150,95325,90357,71175,61948,54334,11464,3219,9875,9476,1087,769,41
2026-01-18,xstth,624211,83626,35722,28733,85201,46617,16034,30369,72667,1533,29854,5840,6253,6265,5093,1581,320,25
2026-01-19,xstth,97202,75713,28082,79681,77489,77882,35043,67631,98651,12671,79164,98508,7797,9068,7718,3458,613,64
2026-01-25,xstth,865054,41975,64199,41590,1143,17938,22744,52595,51579,66552,74148,81090,2470,7657,8537,4636,83,70
2026-01-26,xstth,282082,97191,82817,62656,32835,6985,20449,55710,76987,3463,87289,93072,7005,5033,9995,7830,346,53
2026-02-01,xstth,485467,1335,5829,11581,52682,6622,41426,10689,23351,3333,28084,15632,1001,8151,598,2041,503,79
2026-02-02,xstth,861008,53550,53742,33825,30928,86422,55144,53512,26055,57513,77238,80186,3385,3337,2914,3233,576,61
2026-02-08,xstth,356221,61343,81208,29412,46871,86863,27747,27895,44737,30541,57265,15561,3749,6917,8439,754,586,49
2026-02-09,xstth,519579,88269,21122,66237,60231,56019,97129,19782,98885,26669,3565,92596,7611,3009,230,4236,257,90
2026-02-15,xstth,97708,90811,63347,6820,87085,7759,22975,17807,46901,29919,79766,36582,7647,6147,3486,4414,985,15
2026-02-16,xstth,761468,21434,83214,12154,42265,56178,28671,65101,21180,72749,2283,29758,1787,9856,5874,9028,709,98
2026-02-22,xstth,541580,87778,209,18465,87235,1800,81484,31618,17075,87254,82539,96148,2226,4674,7324,748,718,66
2026-02-23,xstth,71982,67551,64779,59000,17917,45494,35685,85824,24793,7232,99936,85752,9957,496,9683,6258,211,96
2026-03-01,xstth,600510,74764,50046,94920,79888,52306,53322,64026,12947,76798,60494,62638,6103,7604,7001,4550,225,8
2026-03-02,xstth,280395,77056,26139,89279,89703,99836,36330,52403,91818,59560,4955,39213,4716,3213,1061,7385,453,86
2026-03-08,xstth,230678,42852,11041,41062,69417,32435,88044,23905,79060,69255,72976,59571,3879,367,9581,3764,186,50
2026-03-09,xstth,840103,94486,24525,28094,67873,21455,24498,40983,62965,19788,2697,45642,2619,7655,7914,9077,661,32
2026-03-15,xstth,331464,54426,67165,11705,23736,14511,37269,4075,83665,92311,37036,49229,7456,624,4311,6361,529,87
2026-03-16,xstth,568408,76076,52033,62991,48429,46885,48276,90988,83396,80137,89104,89581,88,9055,5934,7928,277,47
2026-03-22,xstth,881533,77931,2087,67695,57816,79147,77030,23049,85806,33302,56082,9563,3097,8114,6962,9327,249,94
2026-03-23,xstth,888807,17869,63271,4771,81332,64566,1293,56119,53565,92344,32528,64681,5872,8066,5218,1379,542,54
2026-03-29,xstth,924386,43721,1577,43363,20962,35865,89098,99726,25189,85773,65363,98843,8149,3979,5806,7281,223,66
2026-03-30,xstth,717636,75993,67441,31127,62221,14969,19092,37435,94631,6161,32743,76071,2724,8406,703,5346,144,78
2026-04-05,xstth,507554,37001,77219,69767,71524,7594,62512,61935,38551,7784,5015,32584,9877,1057,1825,4067,413,70
2026-04-06,xstth,303904,9486,10657,17418,84124,40493,27308,99224,47021,12204,59724,59624,7721,2332,7586,6707,526,95
2026-04-12,xstth,878653,29371,63011,87746,73391,17701,82340,46935,23528,96803,47018,65014,9862,7861,4841,910,175,3
2026-04-13,xstth,705900,17913,5319,80514,80333,29666,95969,28143,87122,87282,96264,83985,260,5351,1560,4074,412,4
2026-04-19,xstth,481381,20661,73270,99750,83190,99949,40438,71270,47407,5659,33332,98911,2503,2891,3073,1390,645,56
2026-04-20,xstth,850554,78454,92450,50773,42913,46467,1527,11282,45195,36992,35093,43209,4437,631,9649,4772,845,52
2026-04-26,xstth,988002,73557,15002,24790,9135,95660,87433,4454,78207,68065,67762,11535,3792,9250,4994,2830,484,74
2026-04-27,xstth,836508,89366,67358,79595,41866,98922,96597,95228,17943,27156,19087,51791,9554,7933,4114,2186,634,86
2026-05-03,xstth,155055,87109,92548,75662,58265,32387,23381,41312,10588,76646,5518,56891,2801,3875,2784,4674,42,8
2026-05-04,xstth,559552,55081,32017,5582,47549,88045,93952,68029,13995,61145,83829,30438,1201,2074,7465,5316,51,94
2026-05-10,xstth,694933,96901,73227,54590,73543,80767,13792,42532,1508,43768,15724,30512,9045,7132,1848,8501,368,39
2026-05-11,xstth,793529,23932,54855,15787,41022,17921,42646,76943,47357,10503,45232,88728,4787,253,3166,6359,292,2
2026-05-17,xstth,680674,93585,64501,8497,23218,77158,84709,72831,35996,32571,68277,79560,9753,9906,8410,136,454,85
2026-05-18,xstth,449399,53676,80633,97610,76122,20873,85291,44376,67265,86342,36855,60501,5224,3976,1622,7075,565,24
2026-05-24,xstth,32740,41391,79011,69695,18389,55175,62007,3312,53261,26703,43913,26848,2282,7470,1804,6936,694,38
2026-05-25,xstth,410154,71122,9767,77399,15416,75513,97811,91148,57239,86520,48888,81377,6914,2118,3452,9697,918,49
2026-05-31,xstth,371354,48824,37695,18976,29823,94024,85587,3176,37252,41318,30075,29456,6492,4159,6949,8396,301,93
2026-06-01,xstth,13428,75893,35617,13446,26463,38095,11793,24476,42859,17764,7963,17302,7995,8875,4982,8158,97,1
2026-06-07,xstth,666379,6723,77838,41191,84885,50685,58905,8826,89320,60391,80520,62482,3992,9458,7947,3828,428,82
2026-06-08,xstth,744184,92655,51067,12968,85605,93708,57856,36529,51515,26445,65378,82518,9078,7538,4254,1904,400,27
2026-06-14,xstth,28536,37212,60858,64388,26609,96323,24052,90083,28968,18170,37390,88640,5271,6853,4100,8144,613,31
2026-06-15,xstth,339761,75966,87093,8643,79054,99770,29817,67592,80657,88873,60298,9084,9594,2831,9542,5417,674,36
2026-06-21,xstth,10504,96045,33279,50647,88841,82482,40331,59949,52582,54786,56347,37547,8847,2745,7974,244,69,49
2026-06-22,xstth,122206,85901,74557,63545,41808,48607,92193,33658,283,75552,48062,33641,9655,3200,8783,1819,828,43
2026-06-28,xstth,482089,62264,14536,21756,81494,14693,12505,22841,79479,20428,79415,66438,6197,806,3375,1497,428,89
